[    0.00s ->     4.88s] Hey guys, welcome to today's monthly live training. Super excited. This is the first
[    4.88s ->     9.68s] of many. Every single month we'll be diving in deep into a specific topic, crucial for us as
[    9.68s ->    14.96s] option sellers, specifically option sellers who want consistency in all markets using automation
[   14.96s ->    19.48s] so that we can get our time back. In this training, we're going over the four core strategies that
[   19.48s ->    25.18s] every options traders need. And so we're doing this or I'm doing this because I want to make
[   25.18s ->    30.18s] sure that you guys understand this topic. This is the most crucial topic to this whole training
[   30.18s ->    34.30s] program. It's what we're doing. So I want to make sure to talk about the basics, understand what's
[   34.30s ->    37.98s] going on to make sure that you guys understand it. So diving into this training, just want to set some
[   37.98s ->    42.44s] housekeeping rules real fast. Number one, there will be Q&A time at the end where I will allow you
[   42.44s ->    47.58s] guys to unmute yourself if you want. But while we go through the presentation, make sure to take
[   47.58s ->    54.54s] notes. Also, you can on Zoom, go to the Q&A tab and put your questions there. So there's a specific
[   54.54s ->    59.20s] questions part in Zoom. Go find it and put in questions there as you have them. And I'll review
[   59.20s ->    64.50s] that list at the end in addition to other questions that you guys have. Number two, this training is
[   64.50s ->    68.74s] broken down into two parts. Number one, broken down into a teaching session where I'm going to teach
[   68.74s ->    73.98s] something specific. And it's broken down into a market analysis section, aka where does the market
[   73.98s ->    78.86s] look like it's going over the next 30 days? What are the best bots and allocation we can use to profit
[   78.86s ->    83.42s] from it? So it's going to be super helpful. And then number three is this live training is being
[   83.42s ->    88.76s] recorded. I will publish the replay in the circle community within 48 hours, given I can get it
[   88.76s ->    92.32s] edited by then, which I should be able to. So by Friday, this training should be up.
[   93.12s ->    97.46s] Sweet. Now that I covered that, let's do this. Let's dive in. Let me double check the comments,
[   97.62s ->   102.28s] make sure I can see you guys chat. All right. We got everyone in here. I can see the chat. We are good
[  102.28s ->   107.92s] to go. All eight people who registered are here. Sweet. Let's go over some options 101. For a lot of you
[  107.92s ->   112.24s] guys, this may already be common knowledge, but I know a few of you guys are newer to options,
[  112.24s ->   116.10s] so I want to make sure this is covered. Options 101, there are a lot of things we can do. In
[  116.10s ->   121.32s] options, there are calls and there are puts. I'm going to break down each one. When we buy a call,
[  121.54s ->   127.14s] it makes money as the stock goes up. This is what the profit graph looks like. This is what it is.
[  127.18s ->   134.06s] When we buy a call and the market goes up, we make money. Now we can also sell a call, which makes
[  134.06s ->   140.14s] money as the market drops. It does the inverse of it. So when we're selling a call, we're essentially
[  140.14s ->   147.56s] betting that a stock will stay below a certain level. So when we sell options, specifically sell
[  147.56s ->   152.60s] calls, we have a higher win rate because all we need to do is stay below a certain level.
[  153.14s ->   158.78s] But when we buy a call, we actually need the market to go up for us to profit. So that's why selling
[  158.78s ->   164.88s] helps a lot. Same thing with puts. When we buy a put, we make money as the market goes down. So buying a
[  164.88s ->   169.74s] put, market goes down, make money. We can use this in certain situations, as I'll be explaining here
[  169.74s ->   176.06s] later. And we have selling puts. When we sell a put, all we are doing is betting that the market
[  176.06s ->   182.26s] will stay above a certain level. So above this level here, we make money. This is why options selling
[  182.26s ->   186.30s] or selling puts is a lot better than buying puts because we have to be right on the direction when
[  186.30s ->   190.88s] we buy puts to make money. But when we sell puts, it just needs to stay above a certain level,
[  190.88s ->   196.86s] which gives us a really great win rate. So why sell options? Most of you here are already
[  196.86s ->   201.88s] selling options, which is great. So you know, it's amazing. But here's a few reasons. Number one,
[  202.32s ->   207.54s] NASDAQ, which is one of the larger exchanges in the US, it does literally a trillion plus dollars
[  207.54s ->   212.36s] every single day in trading volume, says some of the most profitable and productive trading is
[  212.36s ->   217.40s] accomplished through selling options for income. You can make money on the way up, on the way down,
[  217.40s ->   224.06s] in any market. By selling options, you control all aspects of your capital, including risk outcomes
[  224.06s ->   230.10s] on particular trades. Us with our goals becoming income engineers, which is engineering profit,
[  230.36s ->   236.62s] engineering consistency, and engineering our risk to a level we are okay with is the whole thing that
[  236.62s ->   240.98s] is what option selling allows us to do. And so that's why we sell options. But not only that,
[  240.98s ->   247.72s] statistics and back tests and data has showed us that it outperforms the market is more consistent
[  247.72s ->   252.44s] and has lower drawdowns. When we look at a over a 32 year study compared to the overall market.
[  252.56s ->   257.86s] And last but not least, option selling is like insurance. Insurance is one of the most profitable
[  257.86s ->   265.34s] businesses around because they collect premiums on people that they want to insure, they get to pick
[  265.34s ->   269.90s] who they insure gave, they get to pick how much risk they take, and they get to profit monthly from it.
[  269.90s ->   274.34s] We do the same thing as selling options, except instead of providing insurance for the house or
[  274.34s ->   279.14s] for your car, provide insurance for the stock market, we can collect premium. And that's how
[  279.14s ->   286.22s] we are able to generate income. Now, we aren't the only people to do this. So are people like Warren
[  286.22s ->   293.14s] Buffett, who made $134 billion across his whole lifetime, with multiple billions of it coming from
[  293.14s ->   298.58s] actually selling puts that he's made before entering his long term investment. So he knows the power of
[  298.58s ->   304.36s] selling options as well. And basically, when we sell options, we become the house, we now allow
[  304.36s ->   311.60s] anyone who has $25,000 or more to become an insurance company to collect premiums aka cash every month,
[  311.60s ->   317.40s] or maybe even every day. And it can be done in a completely hands free way. So what are the three
[  317.40s ->   321.86s] biggest options risks that we have to worry about? You may be like, this is awesome. But what's the
[  321.86s ->   326.44s] downsides, we must always consider that the downsides and everything we're doing, especially as trading,
[  326.44s ->   332.24s] our job isn't really traders, our job is to be risk managers. That's how we really survive these
[  332.24s ->   335.98s] things. And so when we're talking about the three biggest risk, we have manipulation risk,
[  336.56s ->   340.42s] volatility risk, and market crash risk. You may have heard this before, but I wanted to make sure
[  340.42s ->   344.86s] we set the groundworks here before we dive into the further concept of four core strategies.
[  345.28s ->   352.24s] Number one is manipulation risk. Okay, when you submit an order to the market, your order is publicly
[  352.24s ->   358.62s] seen and available to anyone, which means market makers, hedge funds, institutions could go in
[  358.62s ->   364.52s] there, see your order and manipulate it to get you out. Just like when a hunter like a lion sees its
[  364.52s ->   369.28s] prey, it goes after it and it kills it. That's the same thing that's happening in the stock market
[  369.28s ->   375.28s] every single minute of every single day. There are market makers, hedge funds that have that are
[  375.28s ->   383.00s] looking at your order, slightly manipulating the market to allow your orders to trigger early,
[  383.40s ->   387.66s] resulting in a loss for you, but a profit for them. And they're able to do this because they can
[  387.66s ->   393.64s] see your orders. Now, in addition to that, there's what's called volatility risk, where us as option
[  393.64s ->   400.22s] sellers, we are selling the risk in the market. If risk is higher, we get to make more premiums. But if
[  400.22s ->   406.54s] risk is lower, we make less. And that's where we are at a lot of risk. Because if volatility goes up,
[  406.82s ->   414.04s] we are going to lose just by the way that volatility works. And so volatility moving is a risk for us.
[  414.06s ->   419.24s] And we need to find a way to mitigate that. And then last but not least, we have market crash risk,
[  419.24s ->   424.44s] which is if the market were to crash as option sellers is amazing because it's leveraged, which
[  424.44s ->   429.76s] means we get to make greater profits, but also at the same time, we make larger losses. And so
[  429.76s ->   435.30s] with that, if the market were to crash, we could lose easily 1000s and 1000s of dollars. So option
[  435.30s ->   439.64s] selling is still without a doubt, according to Warren Buffett, according to NASDAQ, according to
[  439.64s ->   445.68s] studies, the greatest way to produce income, but we have three big risk factors we must consider. And so
[  445.68s ->   451.16s] again, even if we get all those factors, right, we still have to deal with emotions that is fear and
[  451.16s ->   456.86s] greed, us deciding should I stay in a trade? Should I get out? What should I do? All this stuff is called
[  456.86s ->   463.26s] emotions and it wrecks with our trading plan. So what we do is we fix all of this by using
[  463.26s ->   468.42s] automation. So that specifically being the options auto trader, we can get rid of manipulation risk,
[  468.56s ->   474.64s] volatility risk and market crash risk, or at least reduce it substantially. And so we can fix manipulation
[  474.64s ->   481.14s] risk using automation by what I call the brick wall. So remember, I said if a hunter sees its prey,
