[    0.46s ->     9.35s] We're back. Welcome back. In this video, we're going to talk about applied statistics.
[    9.35s ->    16.39s] You know, most of the time in the quant world, quant funds, hedge funds, however you want to
[   16.39s ->    23.47s] classify different firms, banks, a lot of quant roles aren't actually concerned with your ability
[   23.47s ->    30.95s] to conduct research or trade. Really, they just want to see that you have the capacity to answer
[   30.95s ->    37.03s] a whole bunch of probability puzzles and games that is, of course, you know, you can figure
[   37.03s ->    42.53s] stuff out on the fly in a fast-paced environment. Whether or not that's productive for screening
[   42.53s ->    48.17s] candidates is beyond the skip of this video. I'm going to show you how we can apply some
[   48.17s ->    56.17s] statistics to extract, say, a meaningful parameter for a particular unknown distribution. In this
[   56.17s ->    61.77s] case, we're going to be looking at the population mean. We're going to use the law of large numbers
[   61.77s ->    67.33s] and central limit theorem. And this is going to go beyond your business analytics class.
[   67.33s ->    72.79s] This ain't your freshman year, sophomore year business analytics class at university. No, no,
[   72.79s ->    79.73s] no. We're going to talk about what it means to simulate each of these draws from some unknown
[   79.73s ->    83.73s] distribution. And we're going to apply the central limit theorem. So if you're still watching,
[   83.73s ->    90.29s] hang with me and you're going to be ahead of the curve. If you're not interested, then go watch some
[   90.29s ->    96.93s] of my other videos or buy my courses or something. All right. So for starters, let's just quickly go
[   96.93s ->   109.25s] ahead and import numpy as mp. We'll import scipy.stats as scs. Import matplotlib.pyplot as plt.
[  109.25s ->   117.32s] Okay. All right. So now what we're going to do is we are going to go ahead and use a standard uniform
[  117.32s ->   124.68s] distribution as an example to talk about what's going on here. And then after that, we're going to
[  124.68s ->   131.00s] apply the concept that I'm going to illustrate here. But in that case, I'm going to apply it to a
[  131.00s ->   137.30s] different problem. All right. So we're going to approximate a parameter. All right. So let's go ahead
[  137.30s ->   142.34s] and say that, you know, I have D and this is going to be a random vector. We're going to use a uniform
[  142.34s ->   148.02s] distribution. And let's just go ahead and use a standard uniform distribution. Okay. So this is going to
[  148.02s ->   152.90s] create one draw from the standard uniform distribution, right? I can keep doing this.
[  152.90s ->   158.90s] Each draw has equal probability such it's a flat line, right? If we were to go ahead and draw
[  159.62s ->   165.22s] the probability density function, it would just be a flat line. You know, if we wanted to,
[  165.22s ->   175.46s] we could even define it with latex. I would say f of x is equal to, and then I would have,
[  175.46s ->   181.06s] I'm not going to do the piecewise. I'm just going to do fraction fraction. We're going to say this is
[  181.06s ->   190.42s] one over beta minus alpha, right? So beta minus alpha. So it's parameterized by beta and alpha,
[  191.06s ->   204.52s] x in u alpha beta. And then that is going to be for any x that is going to be between alpha and beta.
