[    0.46s ->     6.95s] The following is a quantitative research talk that I gave to the University of California,
[    7.07s ->    14.99s] San Diego's Triton Quantitative Trading Group. I discuss my paper, which uses emojis to produce
[   14.99s ->    21.09s] return predictability in the cross section. I outline what it means to have a career in
[   21.09s ->    27.65s] quantitative research, how to position yourself for such a career. I dive into the quantitative
[   27.65s ->    34.81s] research pipeline all the way from data acquisition to data analysis. And I wrap up with a wonderful
[   34.81s ->    42.63s] Q&A. Over 70 attended the event, which spilled over into two classrooms. It was awesome to see
[   42.63s ->    48.59s] so much participation. It was amazing to work with such a great organization. And I look forward to
[   48.59s ->    53.63s] doing more seminars like this in the future. Moreover, these videos and talks certainly take
[   53.63s ->    58.29s] a lot of effort to create. I do not charge universities or organizations for these
[   58.29s ->    62.23s] seminars. So if you'd like to help support the channel so I can continue to create videos
[   62.23s ->    67.99s] just like this one and host more free open source quantitative research seminars, please
[   67.99s ->    73.35s] like, comment, subscribe, share. It helps me out tremendously. It is greatly appreciated.
[   73.35s ->    79.79s] And if you'd like to master your quantitative skills, check out quantguild.com. Maybe you come
[   79.79s ->    85.57s] from a background in business, economics, computer science, physics, and aren't too sure where to
[   85.57s ->    90.47s] get started on your quant journey. Maybe you're an aspiring quant and you're wondering where to
[   90.47s ->    96.21s] focus your study efforts. Maybe you're a working professional looking to switch industries or
[   96.21s ->   101.61s] sharpen those quantitative skills for a technical interview. In any case, quantguild is for you.
[  101.61s ->   107.83s] We have over 90 quant lessons in math, probability, finance, an adaptive practice engine that scales
[  107.83s ->   113.21s] with your skill level so you can progress to more and more difficult topics with gamified rank based
[  113.21s ->   119.87s] progress. Interview questions with fully worked solutions, trading games coming soon, courses from
[  119.87s ->   127.59s] A to Z in math, probability, statistics, finance, data science, coding, all from the ground up. And all
[  127.59s ->   132.99s] that's included with quant guild membership. And you can get started right now for free. So if you'd like to
[  132.99s ->   140.03s] help support the channel and master your quantitative skills, check out quantguild.com. Without further
[  140.03s ->   149.39s] ado, I present to you and UCSD's Triton Quantitative Trading, modeling stock returns with emojis. Let's
[  149.39s ->   159.22s] kind of begin by talking about navigating the quant space here. And it's certainly intimidating when you
[  159.22s ->   167.06s] first get started because there's so much to learn. It's such an interdisciplinary subject, right?
[  167.78s ->   176.18s] It combines essentially, right? It combines math, probability and statistics, computer science,
[  176.18s ->   183.22s] finance. And, you know, you could argue it starts to combine other fields and some fields, subfields as
[  183.22s ->   189.94s] well, like linguistics, artificial intelligence, reinforcement learning, all those kind of very
[  189.94s ->   196.02s] niche topics in all of these subjects. It kind of feels like it gets out of control very quickly. So,
[  196.02s ->   201.54s] you know, really what I like to say when you start to consider the quant space, whether or not you're
[  201.54s ->   208.82s] considering your career as a quant, the first thing you should do is assess your compatibility for the
[  208.82s ->   217.14s] role. And this is not a trivial task. And it's very, it's very difficult to tease out if this is
[  217.14s ->   224.26s] something that you'd actually like to do professionally. I love math. I absolutely love
[  224.26s ->   230.66s] every part of working on a difficult problem, trying to figure out if there's some sort of analytical,
[  230.66s ->   238.66s] numerical solution, whatever it may be. I absolutely love every component of it. I also really like to
[  238.66s ->   247.22s] build software. So I make for a fantastic researcher in the context of empirical research. I can build,
[  247.78s ->   256.10s] I can prototype, I can come up with solutions very, very quickly. And even though this is the case,
[  256.74s ->   264.74s] I've always had a preference for theory, but I never was particularly suited to the theoretical work.
[  264.74s ->   270.26s] I was always suited to the empirical work. And that's, that's a very important distinction there,
[  270.26s ->   276.90s] being able to identify if you're compatible for this space. Is this something that, you know,
[  276.90s ->   283.62s] you actually want to go out and pursue full time? This is the type of role that you want spending,
[  283.62s ->   288.98s] you know, a majority of your day on these difficult problems. And then once you, once you assess,
[  288.98s ->   296.18s] you know what, this is the sandbox that I want to play in, it comes time to position yourself,
[  296.74s ->   302.90s] to position yourself based on a combination of your interests and natural skillset. So
[  303.86s ->   310.26s] when it came to my interests and natural skillset, right, I had said I'm an empiricist, but I have a
[  310.26s ->   317.94s] preference for theory. So I took a two pronged approach to positioning myself as a quant. I had
[  317.94s ->   326.10s] this hand in quant research and trading. This consists of a ton of empirical work, very practical.
[  326.10s ->   332.50s] This is, you know, not a place where we're just going to, you know, sit in the lab and come up with
[  332.50s ->   337.54s] like some crazy strategy. No, this is really about coming up with something that you can,
