[    0.46s ->     8.33s] A question I get all the time, Roman, what is the best way to learn to code for quantitative
[    8.33s ->    16.65s] finance? My answer has largely been the same for years, and that is to build projects. This is not
[   16.65s ->    23.09s] about padding your resume. This is not about padding your GitHub profile. This is about
[   23.09s ->    29.91s] learning to engineer solutions to problems from scratch. In the old days, we used to go to
[   29.91s ->    38.07s] Stack Overflow. We didn't ask ChackGPT or Gemini to generate a code snippet for us. In fact, if we
[   38.07s ->    45.11s] have any hope to actually build trading systems, trading models, backtesting engines, do we really
[   45.11s ->    50.97s] want these LLMs to write all of the code for us? Certainly not. We need to be able to build these
[   50.97s ->    54.85s] systems ourselves, but we all have to start somewhere. So what I'm going to do in this video
[   54.85s ->    60.63s] is I'm going to walk you through from A to Z how to build an implied volatility trading dashboard.
[   61.19s ->    68.87s] This is a trading tool to help identify potential edge in volatility trades. I'm going to show you
[   68.87s ->    73.99s] how the tool works, and then we're going to walk through the build from scratch. Everything you
[   73.99s ->    79.89s] need for this project will be made available in the description below. I will post the source code
[   79.89s ->    86.15s] on the QuantGuild library on GitHub. So if you would just like to access this tool and use it,
[   86.23s ->    91.07s] you can feel free to do so. Moreover, if you're working through the build from scratch and you get
[   91.07s ->    96.25s] stuck or something breaks and you need access to the source code, you can check it out there. So
[   96.25s ->   101.69s] I'll post that link in the description below. I'll also post a link to Interactive Brokers.
[  102.15s ->   106.99s] That's how we're going to be accessing the market data required for this trading dashboard.
[  106.99s ->   112.29s] I've been trading with Interactive Brokers for nearly 10 years. They're the only broker that I
[  112.29s ->   117.19s] trade with in an algorithmic capacity. Highly recommend them. Check out the link in the
[  117.19s ->   123.07s] description below to go ahead and create an account that we can use for this implied volatility trading
[  123.07s ->   128.79s] dashboard. Lastly, as I get started demonstrating how this implied volatility trading dashboard works,
[  129.25s ->   132.61s] if you want to support the channel so I can continue to make videos just like this one,
[  132.61s ->   137.33s] and if you would like to master your quantitative skills, check out QuantGuild.com.
[  138.17s ->   143.51s] All right, so how do we go about using this implied volatility trading dashboard? Well,
[  143.65s ->   148.41s] if you haven't seen my video on how to trade option implied volatility, then please check that out
[  148.41s ->   156.13s] first. It is the perfect precursor to developing this app. If you're ready to get started, then what
[  156.13s ->   162.19s] we're going to first do is connect to Interactive Brokers Trader Workstation. When we get to the point in the
[  162.19s ->   167.87s] build where we configure a host and port, then I will show you how to do that, but for now,
[  168.23s ->   172.31s] bear with me. We're just going to go ahead and connect. You can see in the logs we've successfully
[  172.31s ->   177.67s] connected, and now what we're going to do is pick a ticker that we want to analyze the implied
[  177.67s ->   185.67s] volatility data of. So I'm going to pick, in this case, let's use NVIDIA. We're going to look back two
[  185.67s ->   192.78s] years and query this implied volatility data. Okay, so now I have this current implied volatility.
[  192.78s ->   200.32s] I'm scaling it by the square root of 252 to annualize it. I have this vol range and just a brief analysis
[  200.32s ->   207.82s] of the current regime. Okay, cool. Now let's click this Analyze Implied Volatility button, and we get all
[  207.82s ->   213.86s] of these crazy looking charts. Now, if you watch the video, How to Trade Option Implied Volatility, all of
[  213.86s ->   219.18s] these charts will be very familiar to you because what we're doing is running the regressions from that
[  219.18s ->   227.40s] video. We are looking at the current implied volatility relative to the average implied
[  227.40s ->   234.86s] volatility for the next 30 days. So what we're doing is we're regressing the forward implied
[  234.86s ->   244.80s] volatility on the current implied volatility, and we're plotting the regression line against y equals x
[  244.80s ->   253.98s] to see what the effect is on the current to forward basis. Now remember, all of trading is about finding
[  253.98s ->   261.26s] a statistical basis for your decision making. That is effectively what we are trying to do here within
[  261.26s ->   267.18s] this dashboard. We're trying to see if, given the current state of implied volatility, there's some sort
[  267.18s ->   273.00s] of statistical basis for a trade that's either long vol or short vol. Let's take a look in the case of
[  273.00s ->   281.00s] NVIDIA. So here, I have this regression on the current implied volatility relative to the forward
[  281.00s ->   288.82s] implied volatility for the past two years. This dotted line is y equals x. This red line is the regression
[  288.82s ->   295.90s] line. You can see the slope of the regression line is less than one. What that means is implied
[  295.90s ->   310.56s] volatility tends to be lower than the input. For example, if we input 0.7, we get something around
[  310.56s ->   320.96s] 0.52. This y equals x line is where 0.7 as an input would yield 0.7 as an output. Okay, well maybe
[  320.96s ->   328.88s] there's a statistical basis for a trade there. Maybe if implied volatility is 0.7, we should go short vol.
[  331.10s ->   337.28s] Maybe. Okay, what about the left side of this intersection? Well, relative to y equals x,
[  337.98s ->   346.02s] if I plug in, let's say 0.4, the regression line predicts 0.4, what's that, 0.42? Something like
[  346.02s ->   354.82s] that. It's higher than y equals x. So maybe I want to go long vol there. This isn't a perfect system.
[  354.82s ->   361.90s] A lot of assumptions are being made. Transaction costs, delta hedging, the position cost itself
[  361.90s ->   367.92s] can eat away at any potential profits. What we're doing is we're creating this as a starting point.
[  367.92s ->   378.32s] Now, what else can we do? Well, what if I split up this regression into two separate regressions?
[  378.86s ->   383.98s] So this intersection point with y equals x here, I'm going to create two buckets. I'm going to call
[  383.98s ->   391.38s] it a high volatility regime and a low volatility regime. Low is going to be in blue, high is going
[  391.38s ->   398.69s] to be in red. Now, running a regression in these two separate situations will allow us to isolate
[  398.69s ->   407.43s] this effect that low volatility may imply higher volatility going forward and high volatility may
[  407.43s ->   412.81s] imply lower volatility going forward. Again, sometimes this effect is flipped. Sometimes all
