[    1.34s ->     7.08s] Welcome back to another quant build. In this video, we're going to code the volatility crush
[    7.08s ->    14.18s] trade analyzer from scratch in Python. We're not going to use any AI, we're not going to use
[   14.18s ->    20.14s] cursor, copilot, anything like that. We are going to build this project together from scratch
[   20.14s ->    30.78s] to learn as much as possible. I get asked all the time, you know, Roman, is AI going to replace
[   30.78s ->    35.68s] quant jobs? Is there no more opportunity in quantitative finance? Is there no more
[   35.68s ->    43.72s] opportunity in software engineering? And my answer is always the same. There is arguably more
[   43.72s ->    51.76s] opportunity than ever because of these tools. Some will cite a negative correlation with junior
[   51.76s ->    57.52s] talent. It's like, oh, wow, you know, AI is replacing junior talent. It's giving senior engineers
[   57.52s ->    67.68s] more capacity. But we don't know what the net effect is going to be on the space. We don't
[   67.68s ->    74.60s] know. Somebody at some point is going to have to fix the spaghetti code that these senior
[   74.60s ->    80.94s] engineers wrote for the past year or two with cursor because of all of these security concerns
[   80.94s ->    87.88s] and latency issues. Somebody's going to have to fix it, right? So these things have a tendency to reach
[   87.88s ->    93.32s] an equilibrium. You know, we can look at this as some sort of agile transformation process. This space
[   93.32s ->   100.72s] always goes through different types of iterations. So it's not strange to the space. We see these types
[  100.72s ->   108.08s] of transformations, these big changes, these big process changes happen every so often. And these
[  108.08s ->   113.96s] things have a tendency to reach equilibrium. In terms of opportunity, I mean, goodness gracious,
[  114.58s ->   119.98s] there's arguably so much more opportunity. Everyone wants to be a quant. Everyone wants to be an
[  119.98s ->   126.96s] engineer, but nobody wants to do quant or engineering work. That's hard work. Building this stuff from
[  126.96s ->   135.62s] scratch, that's hard. Leet coding, that's hard. But there's only so many things that they can ask you in a
[  135.62s ->   142.58s] technical interview. If you have a solid quantitative toolkit, if you master your quantitative skills,
[  143.24s ->   149.02s] if you learn, what is it, like 20 leak code patterns, there's going to be barely any technical
[  149.02s ->   157.14s] questions that you can't solve. So it leaves so much room for hungry students to actually want to learn
[  157.14s ->   164.14s] and understand against what? The rest of them who just want to be lazy and plug in the interview
[  164.14s ->   169.58s] question to track GPT. So when it comes to these videos, the goal is to learn as much as possible.
[  170.04s ->   174.86s] These videos certainly take a significant amount of effort to put together. So I hope you enjoy them
[  174.86s ->   182.68s] and, you know, take away from these, these builds as much as you possibly can about coding in this
[  182.68s ->   188.52s] space. That being said, if you get stuck or you need to check out the project source code for some help,
[  188.52s ->   195.16s] I will leave a link to it in the description below. I will also post it on the quant guild library on
[  195.16s ->   201.88s] GitHub, where you can find all of my source code for these quant builds and all of my Jupiter notebooks
[  201.88s ->   208.46s] and associated YouTube videos. For this build, we also need access to interactive brokers for
[  208.46s ->   214.84s] market data, pricing data and implied volatility data. I'll leave a link in the description below to
[  214.84s ->   220.12s] go ahead and get started with interactive brokers. I highly recommend you check them out. I've been
[  220.12s ->   225.88s] with them for over 10 years in a trading capacity, investing and algorithmic trading. They're the
[  225.88s ->   231.24s] only broker I use and I highly recommend their API. So if you want to get started with interactive
[  231.24s ->   236.96s] brokers, check out that link in the description below for this particular build. Before we get started
[  236.96s ->   242.28s] here, if you would like to support the channel so I can continue to create these quant builds and other
[  242.28s ->   249.40s] videos, and if you'd like to master your quantitative skills, check out quantguild.com. Maybe you come
[  249.40s ->   255.24s] from a background in business, economics, computer science, and aren't too sure where to begin on your
[  255.24s ->   262.76s] quant journey. Quantitative finance is such an interdisciplinary field combining ideas from statistics,
[  262.76s ->   270.20s] math, computer science, of course, finance. Well, Quant Guild is for you. We have over 90 quant lessons
[  270.20s ->   276.52s] targeted in math, probability, finance, an adaptive practice engine that scales with your skill level
[  276.52s ->   282.84s] so you can progress to more and more difficult topics, interview questions with fully worked solutions,
[  283.56s ->   293.80s] courses coming soon in math, statistics, coding, all from the ground up from A to Z. So if you'd like to
[  293.80s ->   300.36s] support the channel and master your quantitative skills, check out quantguild.com. Without further
[  300.36s ->   308.04s] ado, let's get into a demonstration of this volatility crush trade analyzer before we go about building it
[  308.04s ->   313.16s] from scratch. So what I have here is I have this panel for connection. I'm going to connect to my
[  313.16s ->   320.44s] interactive brokers trader workstation over here and I'm on the paper trading account. So the port is going to
[  320.44s ->   327.80s] default to 7497. This is my local host. So I will connect. Now I am connected. I'm going to open up
[  327.80s ->   337.08s] the option trader here so we can take a look at some at the money options for Nvidia and go about pricing
[  337.08s ->   346.04s] this volatility crush trade. So I'm going to pick this September 12th expiration and I'm going to pull
[  346.04s ->   353.24s] open this volatility crush trade analyzer. Now there is no earnings event. There is nothing to suggest
[  353.24s ->   361.16s] that this implied volatility is going to crush, but supposing that there was, this is the type of trade
[  361.16s ->   367.56s] that we're going to go about analyzing. Now, if you'd like to see an example of a volatility crush trade,
[  367.56s ->   374.28s] check out my video on how to trade option implied volatility crush. So how does this tool work?
[  374.28s ->   379.16s] Well, something that you'll notice here is my at the money implied volatility is 2.2%.
[  380.28s ->   385.48s] And when it comes to these trading tools, you have to figure out if you're working with a daily
[  386.20s ->   392.76s] unit of implied volatility or an annual unit of implied volatility. A lot of folks are commenting on
[  392.76s ->   398.12s] some of my quant builds that they're getting, you know, implied volatility in the hundreds. Well,
[  398.12s ->   405.08s] you're scaling an already annualized measure of volatility. So mine is defaulting to daily here,
[  405.08s ->   411.48s] but I can fix this by going into my settings. So if I open up my settings here, I can go to volatility
[  411.48s ->   418.12s] and analytics and my units right now are being quoted in daily. I want them quoted annually. So I will
[  418.12s ->   426.28s] change this. Now, when I open up my option trader, I go back to Nvidia. I can see that I have an annualized
[  426.28s ->   431.88s] measure of implied volatility. So just depends on how you want to report it. Typically folks will report
[  431.88s ->   437.40s] it in an annual capacity. So now that we have this tool, how does it work? Well, I can go about fetching
[  437.40s ->   444.04s] data for a particular ticker. We're looking at Nvidia here, and this is the option chain associated with
[  444.04s ->   451.88s] Nvidia for this particular expiration. I'm going to go back to this tool. I put in seven days to expiration.
[  451.88s ->   457.88s] That is when this particular option is going to expire. You can see that my implied volatility is
[  457.88s ->   465.24s] 546%. That's incorrect, right? I was using daily vol, but now I'm using annualized vol. So I'm going to
[  465.24s ->   474.31s] go ahead and plug in the annualized measure here at 34.9%. And the strike price that I'm going to use is
[  474.31s ->   479.43s] 165. So it's going to default to the spot, but you're going to want to change that to whatever option
[  479.43s ->   485.27s] you're looking at pricing. So here I'm going to use 165. Then you can see, I can go about pricing a
[  485.27s ->   491.83s] straddle. So I'll hit price straddle and it's priced at roughly 645. I can go about constructing this trade
[  491.83s ->   499.67s] in the option trader by looking at the strike of 165. So that matches the straddle in this tool.
[  499.67s ->   504.87s] I'm going to sell and sell, and you can see this is going to give me a straddle here.
[  504.87s ->   513.51s] And the performance profile that it is giving me right now is roughly 653 is the premium for this
[  513.51s ->   519.67s] straddle. And that's because the quote is changing slightly. There's, you know, maybe a couple of
[  519.67s ->   525.11s] different things to tinker with in terms of the black souls formula and the IV it's going to change
[  525.11s ->   530.71s] every so often. And that quote on interactive brokers is going to continue to refresh, but nevertheless,
[  530.71s ->   535.67s] this is certainly sufficient for what we're looking to do. So now what I'm going to do is analyze an IV
