[    0.46s ->     7.92s] pricing is literally the most important topic in all of quantitative finance and financial
[    7.92s ->    15.78s] engineering it's literally what determines whether you make money or lose money more so retailers
[   15.78s ->    21.34s] rather than institutions tend to focus on this idea of a trading strategy what's your what's
[   21.34s ->    25.58s] your trading strategy i want to build an algorithmic trading bot that's going to print
[   25.58s ->    34.32s] money for me and you mention anything on pricing and crickets nobody has interest but pricing
[   34.32s ->    41.38s] fundamentally is necessary for those topics if you don't know what the price is should be
[   41.38s ->    46.60s] then how can you ever hope to make money at best you're going to break even or you're just going
[   46.60s ->    54.16s] to lose money the goal is to find things that are undervalued and buy them or overvalued and sell
[   54.16s ->    60.74s] them and you do this on a statistical basis right it's not about certainty there is no certainty
[   60.74s ->    66.18s] you're doing this on a statistical basis to accumulate edge positive expected value over time
[   66.18s ->    71.26s] and if you can do that you generate p and l if you don't then you lose money so pricing is the most
[   71.26s ->    76.66s] important thing it's not about your trading strategy your trading strategy is fundamentally trying to
[   76.66s ->    81.70s] figure out what is over and under price that's the whole point of it so in this video what i want to do
[   81.70s ->    88.48s] is i want to apply this idea to exotic options i want to focus on the pricing of these exotic options
[   88.48s ->    94.34s] and how a desk may go about producing these prices focusing on this idea of ensuring that we have some
[   94.34s ->    99.60s] sort of eggs so that we're making money making a market with these products rather than you know
[   99.60s ->   105.78s] just giving money away without any interest in how pricing works and we're going to visualize this
[  105.78s ->   111.10s] general methodology step by step this jupiter notebook is linked in the description below i've
[  111.10s ->   116.16s] also outlined a set of prerequisites i created a video last week on the black shoals implied
[  116.16s ->   121.88s] volatility surface discusses why the black shoals model is insufficient to price these products
[  121.88s ->   127.46s] definitely check out that video i have other relevant videos here too like why we can simulate
[  127.46s ->   131.82s] prices like how does that even work why we care about pricing i kind of just mentioned it because
[  131.82s ->   137.38s] you know your pnl at the end of the day is just how well you identify mispricings i also have more
[  137.38s ->   143.30s] theoretical videos on the underpinnings of generating these prices unfortunately they tend to be my least
[  143.30s ->   148.10s] popular videos but they are the most fun to make so definitely check those out if you would like more
[  148.10s ->   154.48s] of a technical background um moreover if you're you're more interested in the the practitioner um or if
[  154.48s ->   159.24s] you're a practitioner more interested in the application i have these applications of these models
[  159.24s ->   164.32s] um from a market participant market maker perspective and you can check out those videos
[  164.32s ->   169.82s] there so we're going to focus on this idea of pricing and specifically pricing an exotic option
[  169.82s ->   177.80s] so our goal is to generate pnl right first what the heck is an exotic so if we have a european option
[  177.80s ->   182.26s] right that's typically what we call vanilla has this standard payoff we have the right but not obligation
[  182.26s ->   188.14s] to buy or sell at a certain price at some time in the future whenever the option expires right
[  188.14s ->   194.93s] there are a lot of exotics that are just europeans with different payout structures that tend to be
[  194.93s ->   201.70s] path dependent so a european option it doesn't matter what asset path it doesn't matter the path
[  201.70s ->   207.90s] the asset took to get to the expiration but with the barrier option or the click at option or other
[  207.90s ->   212.94s] exotic options the path does matter and it impacts the payoff at expiration so what we're going to do is
[  212.94s ->   217.94s] we're going to focus on this idea of a barrier option it's just like a regular european option so
[  217.94s ->   222.76s] here's a european call for example right we have a strike price the underlying asset expired above
[  222.76s ->   228.76s] it so we get a payout in this case it was 589 if i run this again right whoa what happened here so
[  228.76s ->   235.26s] the underlying asset expired in the money right it expired above this strike price but this is not
[  235.26s ->   241.62s] a european option it is an exotic it's a barrier option it hit this barrier this is an up and out call
[  241.62s ->   248.70s] which means if it hits the barrier you're done no pnl it'll expire worthless regardless of if it's
[  248.70s ->   255.72s] above or below the strike price so that is a non-standard payoff structure that is now path
[  255.72s ->   261.68s] dependent right it depends on the path that the underlying asset took very interesting how do we go
[  261.68s ->   268.14s] about pricing something like this first why would we buy this or sell this well what if i have an
[  268.14s ->   275.12s] opinion on the underlying asset i think that it is let's use nvidia for example right it's 170
[  275.12s ->   283.46s] about right now i think nvidia is going to be 190 in 10 days but there's no way it's going to be above
[  283.46s ->   292.26s] 200 within those 10 days well i can structure a barrier option to facilitate that position right i can
[  292.26s ->   298.34s] put the barrier at 200 and then i can just write out that call and hopefully i'm right and i can make
[  298.34s ->   304.66s] money so why would i do that if i have this extra risk right because if it hits the barrier then it
[  304.66s ->   312.86s] expires worthless regardless right why don't i just buy a vanilla call well for that extra risk you're
[  312.86s ->   317.92s] going to get a discount right because you have more risk of it expiring worthless there's less upside
[  317.92s ->   322.76s] potential for you with this barrier as made evident here right to hit the barrier and you don't get to
[  322.76s ->   328.60s] collect this this payout so it's going to be cheaper relative to its european counterpart okay
[  328.60s ->   333.74s] so that's how we can kind of look at this this exotic option we can look at it relative to what we know
[  333.74s ->   340.51s] and that is a standard european option how do we go about pricing something like this remember our goal
[  340.51s ->   344.99s] or we're sitting on a trading desk right i gave you an example where we're trying to you know make
[  344.99s ->   351.65s] some sort of some sort of speculative position on nvidia that's where i'm trying to buy the contract
[  351.65s ->   355.25s] right what if i'm on a desk and i'm making a market for this contract right what's my goal
[  355.25s ->   363.03s] well my goal is to price this fairly and then make adjustments for my counterparty risk liquidity
[  363.03s ->   368.99s] and of course profit and then hedge away as much of it as possible so statistically i can make money
[  368.99s ->   375.31s] over a large series of trades just like this one that's my goal if i'm sitting on a desk so
[  375.31s ->   381.95s] this methodology this general recipe if you will is going to facilitate that goal right pricing
[  381.95s ->   388.15s] pricing is the most important thing in all of quantitative finance goodness gracious step one
[  388.15s ->   394.50s] okay in this general recipe to price something like this barrier option select a model okay clearly
[  394.50s ->   399.00s] black jewels isn't sufficient we'll briefly discuss why and we'll talk about other models step two
[  399.00s ->   404.36s] determine a vanilla pricing scheme for that model very interesting wonder why we're going to need that
[  404.36s ->   410.82s] step three calibrate the model it's going to ensure we produce consistent prices step four determine an
[  410.82s ->   417.83s] exotic option pricing scheme given the parameters from the model that was calibrated okay and then
[  417.83s ->   421.49s] step five just as i said we're going to apply some pricing adjustments and then we can go ahead and send
[  421.49s ->   427.73s] that quote let's first talk about this first step here all right model selection black shoals is
[  427.73s ->   434.35s] insufficient all right why is black shoals insufficient well in the video last week i talked about
[  434.35s ->   444.23s] how the black shoals model allows us to produce a price based on a volatility level but that volatility
[  444.23s ->   450.83s] level is not consistent for the prices that we observe in the market that doesn't make sense just look at
[  450.83s ->   455.77s] these two surfaces all right this is a black shoals implied volatility surface and this is the market
[  455.77s ->   462.03s] implied volatility surface what i have here is a set of five strike prices five times two maturities same set on
[  462.03s ->   468.47s] the black shoals implied volatility surface and you can see that they do not look the same the black
[  468.47s ->   473.71s] shoals surface is flat it assumes a constant volatility for all of the options each point on
[  473.71s ->   481.01s] this grid is a different option contract but the market surface requires different black shoals implied
[  481.01s ->   486.17s] volatilities to produce the market prices why is this the case well as we talked about in the previous
[  486.17s ->   491.21s] video fears on the downside we're not going to get too much into that okay but if we are using a black
[  491.21s ->   497.11s] shoals model what do we have control over to change the shape of this volatility surface well we can
[  497.11s ->   504.24s] change volatility i can increase it oh it raises the surface that's that's not helping does not look
[  504.24s ->   511.36s] like this i can decrease it that's not helping either still doesn't look like this we can't change
[  511.36s ->   515.82s] the shape we can't change skew we can't do anything okay volatility is constant so we need
[  515.82s ->   522.08s] to go beyond black shoals okay what is the problem with a flat surface if the market looks like this
[  522.08s ->   527.46s] well we're just subjecting ourselves to arbitrage so here's the skew the market skew this is the black
[  527.46s ->   534.30s] shoals volatility this these do not match right this is just a cross section of this surface right
[  534.30s ->   542.02s] these do not match we're subjecting ourselves to arbitrage if i quote prices for my desk with this black
[  542.02s ->   548.36s] shoals volatility and this is the market surface that's that's just immediately arbitrage i'm subjecting
[  548.36s ->   554.68s] myself to arbitrage look at this put the put that i'm quoting is severely underpriced relative to the
[  554.68s ->   561.94s] market price severely look at that gap right so we never want to subject ourselves to arbitrage we don't
[  561.94s ->   567.52s] want to give away money over time we're just going to get killed we want positive edge we want to
[  567.52s ->   572.58s] accumulate positive expected value over time that's our goal so black shoals is insufficient clearly
[  572.58s ->   578.18s] right what are some extensions well let's first talk about what we mean when we say a model
[  578.18s ->   583.67s] framework something like black shoals when we say we're using a black shoals pricing framework all
[  583.67s ->   589.75s] that means is we're using a geometric brownie emotion as our stochastic differential equation
[  589.75s ->   596.23s] to govern the dynamics of the underlying asset so an option contract let's just look at equity options
[  596.23s ->   601.25s] written on a stock right we're assuming that the stock is a random path that evolves randomly over time
[  601.25s ->   606.51s] according to this equation it's prescribed randomness it's really all it is
[  606.51s ->   612.45s] in this particular equation volatility is just a constant right so we need to extend this model
[  612.45s ->   618.47s] we could look at something like a local volatility model that makes this volatility term a function
[  618.47s ->   626.39s] it's no longer constant that's going to allow us to fit this surface to the market surface another
[  626.39s ->   631.01s] option pun intended if we don't want to use a local volatility model let's use a stochastic volatility
[  631.01s ->   636.23s] model and in this case this stochastic volatility model is called a heston model or a heston
[  636.23s ->   642.89s] framework and what it does is it just assumes that volatility follows this random process this
[  642.89s ->   648.99s] ornstein-ohlenbach process which is a mean reverting process not a crazy assumption at all to assume that
[  648.99s ->   654.75s] volatility is a mean reverting process but really what this does is it introduces these new parameters
[  654.75s ->   662.05s] right in a black shoals framework we only have that volatility term but in a heston framework we have
[  662.05s ->   668.13s] all these other parameters for the volatility process that we can change freely how is this
[  668.13s ->   672.99s] useful for us well let's take a look at the skew remember if we go back up to this chart here if we
[  672.99s ->   677.45s] use a black shoals model poor black shoals down here it's all flat it doesn't fit the market skew
[  677.45s ->   683.94s] but let's look at a heston model that green line represents the heston skew relative to this blue line
[  683.94s ->   687.74s] which is the market skew and again poor black shoals is assuming constant vol down here
[  687.74s ->   694.74s] but this is certainly more in line with the market prices but we haven't even gone about tinkering with
[  694.74s ->   699.96s] the parameters yet so this is very similar to black shoals in the sense that you give me these
[  699.96s ->   706.22s] parameters i can produce a price and from my previous video you'll know that we can just produce an implied
[  706.22s ->   712.60s] volatility if we can produce a price that inverse is one to one in that sense here what we're doing is
[  712.60s ->   718.42s] we're producing a price and we're producing an implied volatility for this particular parameter
[  718.42s ->   724.58s] set and we can change the parameter set so that it's in line with the market skew so watch this if
[  724.58s ->   730.30s] i go and change let's see one of the parameters is theta in the heston model the long run variance
[  730.30s ->   738.54s] what happens if i increase it let's increase it so this is 0.06 let's run it again look at that
[  738.54s ->   745.70s] it shifted it up 0.08 shifted it up so i'm going to be able to tinker with these parameters of the
[  745.70s ->   751.96s] heston model to fit the model to the market surface and that's exactly what our goal is going to be so
[  751.96s ->   756.96s] this is why we need a model other than a black shoals model we need to go beyond the black shoals model
[  756.96s ->   762.80s] so we can produce consistent prices in that capacity this is certainly putting the cart before the horse
[  762.80s ->   769.02s] in the sense that if we're able to produce the implied volatility for a heston model it means
[  769.02s ->   773.30s] we already have prices the particularly keen among us will remember from last week's video
[  773.30s ->   777.96s] where i talked about trading with the black shoals implied volatility surface if you have implied
[  777.96s ->   783.36s] volatility you already have a price it's one to one in that sense you can go back and forth freely
[  783.36s ->   789.04s] but i never talked about how to get a heston price for the european options that make up
[  789.04s ->   795.84s] the implied volatility surface right so let's look at the flow here right i chose a heston model
[  795.84s ->   802.46s] i then pick the parameters of the heston model which includes the contract parameters right so i can
[  802.46s ->   808.66s] use the heston model to produce a price for each point on this grid and it's going to give me some
[  808.66s ->   813.36s] sort of volatility surface it's not going to be flat but it's certainly not going to be the market
[  813.36s ->   819.02s] surface because i don't know what parameters to pick right so my goal is going to be to pick the
[  819.04s ->   823.98s] parameters in such a way that it fits the model to the best of its or fits the market
[  823.98s ->   831.02s] volatilities to the best of the model's capability but in order to do that i need to be able to price
[  831.02s ->   837.00s] the options because if i can go back and forth freely between price and implied volatility i need
[  837.00s ->   844.22s] to get one of them first and that's price i need to generate a price first then i can go to the black
[  844.22s ->   849.78s] scholl's implied volatility and i can try to match this market implied volatility surface okay so how
