[    1.26s ->     6.55s] Hey guys, Roman here, quantitative researcher and trader, founder of Quant Guild. Today,
[    6.61s ->    10.73s] we're going to talk about the covered call options trading strategy. I'm going to take
[   10.73s ->    15.33s] you from theory all the way to practice placing a live trade in interactive brokers, trader
[   15.33s ->    21.09s] workstation with this particular strategy. This is one of my favorite strategies of all times
[   21.09s ->    27.59s] for both beginners and advanced traders. Beginners get an opportunity to explore the options chain
[   27.59s ->    34.35s] and really understand this idea of long and short contracts and effectively securing a short
[   34.35s ->    40.19s] contract with stock that they would like to own anyway. And more seasoned traders will be able to
[   40.19s ->    47.17s] implement this in an algorithmic capacity, maybe algorithmically selling 20 to 30 delta options
[   47.17s ->    55.51s] for a set of underlyings, diversifying the risk across maybe stock and futures options, the list
[   55.51s ->    61.75s] goes on. So what we're going to do is start in the classroom, I'm going to give you all of the tools
[   61.75s ->    66.79s] to understand this cover call strategy, we're going to take a look at a few different simulations
[   66.79s ->    73.05s] to understand the different states of the world that we may end up in trading this particular type
[   73.05s ->    78.29s] of strategy. And like I said, we are going to head on over to interactive brokers trader workstation
[   78.29s ->    85.47s] to place this trade live to understand how we may go about it. And then of course, in the context of
[   85.47s ->    92.01s] our future quant builds, we can even build an algorithmic system to implement this across a set
[   92.01s ->    98.39s] of diversified underlyings, but that will largely be based on your guys interest. So if you're
[   98.39s ->   104.59s] interested in videos like that in the future, please like comment, subscribe, certainly let me know.
[  104.59s ->   111.23s] Let's get started here first by understanding exactly what a European option contract is. A European
[  111.23s ->   117.35s] options contract is a financial derivative. That means that the contract itself derives all of its
[  117.35s ->   123.95s] value from an underlying asset. In this case, we are looking at equity options. That means the options
[  123.95s ->   132.07s] contract derives all of its value from an equity. So what is the contract specifying? The contract is
[  132.07s ->   142.15s] specifying terms for a payout in the future. We have a call and a put contract, an options contract, and the
[  142.15s ->   149.45s] payoff in the future is well defined as the max function. Here you can see the call option on the left and the
[  149.45s ->   157.07s] put option on the right. The vertical line here is going to be the strike price of the European options contract. If the
[  157.07s ->   163.15s] underlying expires for the call option above the strike price, then we're going to make money.
[  163.79s ->   169.87s] So the call option is effectively a bet that the stock price is going to increase past that strike
[  169.87s ->   175.15s] price K. The same is true for the put option, but on the downside, it is a bet that the stock price is
[  175.15s ->   183.23s] going to decrease relative to that strike price K. And of course, these options contracts have a maturity.
[  183.23s ->   190.53s] At time capital T, this payoff is going to be realized. T may be a week from now, a month from now, you get to choose
[  190.53s ->   199.29s] the contract that you are going to trade. It's very important to understand that these contracts, they are not like
[  199.29s ->   207.43s] equities. If you buy an options contract, and it expires, and it expires worthless, either you buy a call and it expires
[  207.43s ->   215.59s] below the strike, or you buy a put and it expires above the strike, then that is it. The trade is over, you lose
[  215.59s ->   224.95s] all of your money that you put into that particular contract. It is not like an equity. Okay, so this is a call
[  224.95s ->   232.39s] option. This is a put option. We also need to establish the difference between owning the contract or writing
[  232.39s ->   240.03s] the contract. That is going long or short the contract itself. This is going to be the payoff for going long a call
[  240.03s ->   246.55s] option. That means that you own the call. This is going to be the payoff for going long a put option. That means that you
[  246.55s ->   255.61s] own the put. What about the other side of the trade? You're more than welcome to go short a call or short a put, but that is
[  255.61s ->   263.46s] going to flip the payoff diagram. That's exactly what you see here. We can see the original call
[  263.46s ->   270.52s] in the upper left and the other side of the trade. That is a short call. And it makes sense because
[  270.52s ->   278.28s] financial derivatives are a zero-sum game. You can see that if the short call position loses $12, the long
[  278.28s ->   285.56s] call position is going to gain $12. That's exactly what it means for these types of contracts to be a zero-sum
[  285.56s ->   291.52s] game. The same is true for the put option. You can see here that if we are long a put and it is going
[  291.52s ->   298.98s] to pay out $8, then the short put is going to lose $8. But what I want you to recognize here, and this is
[  298.98s ->   305.44s] probably the most important part of understanding the difference between a long and a short call or put,
[  305.92s ->   312.84s] is let's take a look at the two different states of the world for the short call and short put. So we can
[  312.84s ->   316.68s] go into the market right now. We could buy a call option. We can buy a put option. But what about the
[  316.68s ->   321.66s] short call and short put positions? Yeah, we can go into the market and we can sell a call and sell
[  321.66s ->   328.16s] a put. But here's what I want you to notice. If we're short a call and the underlying expires,
[  329.06s ->   336.40s] let's say out of the money, we don't receive any cash flow. Okay, well, that's not exactly a bad thing.
[  336.40s ->   346.52s] But if it expires in the money, then we lose money. So if we're short a call, we're guaranteed to
[  346.52s ->   353.12s] either lose money or make nothing. Same is true with the short put. We're going to either lose money
[  353.12s ->   362.30s] or we are going to make nothing. What is our incentive for taking this short position? This
[  362.30s ->   368.80s] seems like a terrible idea. At least with the long position, we have the potential to make an upside
[  368.80s ->   373.62s] here, right? An upside if the stock price goes up for a call or the upside if the stock price goes
[  373.62s ->   380.76s] down for the put. Well, this comes down to the price of the contract itself. We are looking at the
[  380.76s ->   390.22s] payoff at time capital T in the future, but we're not at time capital T in the future. How much is this
[  390.22s ->   398.49s] contract worth today? This is exactly what I've been talking about on my channel for a long time.
[  398.49s ->   404.81s] And at length, I have dozens of hours of content related to pricing. I talked about the Black
[  404.81s ->   409.19s] Scholes portfolio replication argument, the connection to the stochastic world with the
[  409.19s ->   416.57s] Feynman-Cack theorem from physics. And, you know, most of the, most of the reactions to those types of
[  416.57s ->   420.39s] videos is that, oh, you know, the Black Scholes model doesn't work in practice, but it's fundamentally
[  420.39s ->   426.55s] misguided. That is not the intent of the Black Scholes model. It is not a prediction model.
[  426.55s ->   433.25s] It is an explaining model. It's explaining exactly why we're observing the prices that we are in the
[  433.25s ->   439.83s] market according to that particular framework and subsequently the volatility surface and skew.
