[    0.46s ->     8.30s] When it comes to trading and quoting prices for your desk, you want to produce prices
[    8.30s ->    15.30s] efficiently and consistently. In order to do so, we typically use some sort of model from
[   15.30s ->    22.44s] financial mathematics, and you can't disentangle the notion of stochastic calculus from those
[   22.44s ->    27.28s] models. In this video, what we're going to do is build off of the previous video where I had
[   27.28s ->    32.76s] discussed Ito's lemma. I had created some visualizations to help interpret Ito's lemma,
[   32.92s ->    39.56s] and we're going to shift our focus now towards Ito integration, this idea of a stochastic integral
[   39.56s ->    45.64s] or a random integral, and we're going to try to build off of traditional calculus. We're going
[   45.64s ->    50.64s] to create a pretty cool visualization here so that we can understand each component of a stochastic
[   50.64s ->    56.54s] integral, and at the end of the day, we're going to discuss why it's important, and that is in the
[   56.54s ->    62.44s] context of pricing, and how we can go about using it to solve stochastic differential equations,
[   62.56s ->    67.84s] which is what we're after at the end of the day. As always, I'm going to leave a link to this Jupiter
[   67.84s ->    72.88s] notebook in the description below. I've listed out here some prerequisite Quant Guild lectures you can
[   72.88s ->    78.84s] check out if you need some background information. All of the Jupiter notebooks for my previous lectures
[   78.84s ->    85.72s] can be found on the Quant Guild library over on my GitHub page, but beyond that, we can go ahead and
[   85.72s ->    92.14s] get started with this idea of the integral in the traditional sense. That is, from calculus,
[   92.28s ->    99.04s] this idea of the Riemann integral. So I'm not going to go about teaching you how to integrate a function.
[   99.40s ->   106.38s] The integral, in general, is just a way to find the signed area underneath some sort of curve or
[  106.38s ->   112.58s] function. It's also the antiderivative, so it undoes differentiation of some sort of function, or
[  112.58s ->   118.62s] it's the inverse of the derivative operator, if you will. And what I've done here is I've just
[  118.62s ->   125.54s] integrated analytically. That means the solution is precise, a very simple parabola from 0 to 2,
[  125.60s ->   133.64s] and I find that the solution is going to be 2.6 repeating, or approximately 2.667. Now, analytical
[  133.64s ->   140.44s] integration is great, and the solution is precise, but it's not always possible, which is why I'm going
[  140.44s ->   146.52s] to pivot to talking about numerical integration. We have very fast and capable computers, which we can
[  146.52s ->   153.88s] use to actually simulate and approximate the value of an integral of interest. So if I couldn't actually
[  153.88s ->   160.02s] go about solving this integral here, I could shift my focus to numerical techniques to try to go about
[  160.02s ->   167.44s] approximating the value, and I can get some very, very highly precise approximations. So I draw a
[  167.44s ->   172.26s] parallel here to this idea of numerically differentiating, because I've done a video on
[  172.26s ->   177.58s] it in the past, and I definitely encourage you to check that video out. But the definition of a
[  177.58s ->   185.52s] derivative is in this limit form, where h goes to 0, but we have computers. So instead of making h
[  185.52s ->   192.60s] close to 0, I could just make it very, very, very small. I don't have to deal with this infinitesimal.
[  192.60s ->   197.96s] So when I say h close to 0, I'm talking about this infinitesimal in the calculus sense, but I could
[  197.96s ->   205.00s] just make it very, very small. I can make it 0.00001, and it turns out that it will be approximately
[  205.00s ->   209.96s] equal to the derivative value when h is small. It turns out to be a very good approximation.
[  210.98s ->   218.12s] How is this useful? Well, it's the same idea in the definition of an integral. So you can see we have
[  218.12s ->   224.82s] this limit in the definition of an integral as this delta x goes to 0, but instead of dealing with this
[  224.82s ->   231.78s] delta x close to 0, I could just set delta x to be some very, very small number, and it turns out we
[  231.78s ->   239.06s] get a very good approximation for the integral in this sense. I will digress from this idea of numerical
[  239.06s ->   245.66s] integration in a moment, but I do want to say that we are not short of different schemes to go about
[  245.66s ->   251.92s] numerically simulating. So this is just one scheme. I listed a pro and a con in terms of the efficiency
[  251.92s ->   259.02s] of this approach, but we are not short of schemes to go about numerically integrating. And it's very
[  259.02s ->   265.26s] important because this is integration in the traditional calculus sense, right? So we're not
[  265.26s ->   271.88s] even dealing with randomness quite yet, but there are integrals that are intractable, right? We could come
[  271.88s ->   276.64s] up with some crazy function that we can't integrate analytically, and we'll have to resort to some
[  276.64s ->   283.14s] numerical techniques, but it's nice to know that we have a wide variety of techniques available to us, and
[  283.14s ->   291.82s] many of them are very, very efficient and precise. So what is integration? Well, as I said, it is just going to
[  291.82s ->   297.48s] be the signed area underneath the curve. It's also the anti-derivative. It's the inverse to that derivative
[  297.48s ->   306.48s] operator. But visually, we can see this numerical integration in action when I make this delta x value
[  306.48s ->   315.18s] smaller. So when I make this delta x value smaller, you can see the number of rectangles increases, versus when I
[  315.18s ->   320.92s] make it larger, the number of rectangles decrease, and the approximation gets worse and worse and worse. So
[  320.92s ->   327.14s] remember, the actual integral value here is 2.667. The approximation here is 1. It's not a very good
[  327.14s ->   334.00s] approximation, but as I shrink that value gets smaller and smaller and smaller, my approximation
[  334.00s ->   341.18s] gets better and better and better until it ultimately converges to the precise value of that
[  341.18s ->   346.92s] integral. So that's the integral from traditional calculus. Now we need to discuss random variables and
[  346.92s ->   354.20s] functions of random variables. It's very tempting to want to deal with a random variable in the classical
[  354.20s ->   363.16s] sense of a deterministic integer, real number, even a complex number for that matter. But they're just
[  363.16s ->   371.36s] not the same. A random variable is actually governed by a probability mass or density function. It's a
[  371.36s ->   378.84s] distribution of possible outcomes that characterizes the randomness. It's a very important idea because if I
[  378.84s ->   384.90s] say that x is normally distributed with a mean of zero and a variance of one, the standard normal
[  384.90s ->   394.48s] distribution, then x doesn't take on a value. It takes on a set of possible values governed by a
[  394.48s ->   402.86s] probability density function given here. Moreover, if we have a function of a random variable, then that
[  402.86s ->   408.88s] function is itself a random variable. A very simple way to see this is imagine that x is a random variable.
[  408.88s ->   414.74s] Well, we know that x doesn't take on any one value. It could take on any one of these values with
[  414.74s ->   420.08s] varying likelihoods. So that means if I have some sort of function of x, in this case, I define this
[  420.08s ->   429.58s] function here, x squared, then how can we be certain of the value for x squared if we're uncertain of the
[  429.58s ->   437.06s] value for x? In other words, x squared is also going to be governed by some sort of density function.
[  437.06s ->   442.82s] It's going to be a distribution of outcomes. Therefore, the function of a random variable
[  442.82s ->   449.94s] is also itself a random variable. Now that may sound trivial, and if it does, fantastic. But the
[  449.94s ->   456.28s] reason why this is important is because when we introduced the stochastic eta random integral that
[  456.28s ->   462.84s] we're going to go about solving, we're dealing with an integral with respect to randomness. What does
[  462.84s ->   468.38s] this mean? It means the integral isn't going to have one value associated with it. We can compute
[  468.38s ->   473.70s] statistics, the expectation of the integral, the variance of the integral, heck, maybe even the
[  473.70s ->   480.52s] distribution it follows. But the integral itself is a random variable. This is a very tricky idea because
[  480.52s ->   488.60s] we're used to integrals being a value in the classical sense, right? The analytical or numerical
[  488.60s ->   493.16s] solution is going to produce a value, not a distribution. So that's why I wanted to discuss
[  493.16s ->   497.80s] this idea of random variables and functions of random variables, because that's all the
[  497.80s ->   503.94s] integral is. It's some sort of function of a random variable. And in that case, the outcome isn't going
[  503.94s ->   510.28s] to be one value. It's going to be a distribution of possible values. The last part of our randomness
[  510.28s ->   515.82s] boot camp here is going to be this idea of Brownian motion. Brownian motion is what we're going to be
[  515.82s ->   522.26s] integrating with respect to this idea of a Brownian increment, an infinitesimally small increment in
[  522.26s ->   527.40s] Brownian motion. And Brownian motion itself is going to be characterized by these four things. So it's
[  527.40s ->   533.90s] almost surely continuous, has independent increments, it has this origin at zero, and the increments
[  533.90s ->   540.06s] themselves are going to be normally distributed with a variance of the time step. This is nothing new if
[  540.06s ->   544.96s] you've seen Brownian motion before. If you haven't seen any sort of stochastic process before, all you
[  544.96s ->   550.66s] really need to know is, if you understand the idea of a random variable, this is just going to be a
[  550.66s ->   558.14s] collection of random variables indexed by time that are governed by these properties. It's not too
[  558.14s ->   563.34s] difficult to grasp. Moreover, you can visualize it. So these are the increments themselves. And if you
[  563.34s ->   568.74s] take the cumulative sum of these increments, then you get these Brownian paths, and they look quite cool.
[  568.74s ->   575.52s] So you can see here, this is the Brownian increment, it's this noise here. And if you take the cumulative
[  575.52s ->   581.76s] sum, then you actually get the Brownian motion process. Again, here, we're dealing with randomness.
[  582.18s ->   587.44s] So anytime we see a W sub T, this Brownian motion term, we can't treat it like a traditional mathematical
[  587.44s ->   594.28s] object, some sort of deterministic quantity, it is itself a distribution governed by these properties.
[  594.28s ->   601.40s] And the same is true for a differential of this, some sort of discretized increment, that is any
[  601.40s ->   607.44s] function involving this random variable, this Brownian motion, is itself also going to be a random
[  607.44s ->   613.34s] variable. This is true for its differential, this is true for its integral, and again, any function
[  613.34s ->   620.28s] involving this term. Think distribution, not deterministic quantity. This brings us to Ito's
[  620.28s ->   626.96s] lemma. So the differential of a function involving that Brownian motion clearly has to be a distribution.
[  627.54s ->   634.22s] There isn't one value for that differential. If there was, then it wouldn't be a random quantity,
[  634.48s ->   641.10s] right? So Ito's lemma, what it does is it decomposes this differential of a function involving the Brownian
[  641.10s ->   646.06s] motion into two components. Essentially, there's this drift component and this shock component.
[  646.06s ->   654.84s] And this differs from classical calculus, and I go in depth into the reasoning why in the video on Ito's
[  654.84s ->   659.34s] lemma, so I certainly encourage you to check that out. But essentially, what we have here is just an
[  659.34s ->   665.64s] extra term versus traditional calculus where this higher order term would actually drop out and go to
