[    0.46s ->     7.18s] Welcome back. Today, we're going to talk about managing option portfolios. Specifically,
[    7.18s ->    12.36s] we're going to talk about different exposures you may have when you hold a portfolio of options.
[   13.02s ->    18.10s] We're going to talk about the so-called Greeks, going to develop some mathematical intuition
[   18.10s ->    24.40s] behind what each Greek actually represents, starting from the basic idea of a linear
[   24.40s ->    28.12s] approximation. If you have no mathematical background, then we're going to do this
[   28.12s ->    33.50s] visually so it makes sense, and then we will apply it to the idea of an option contract
[   33.50s ->    39.60s] priced via the Black-Scholes model, and we'll talk about hedging and the idea of hedging our
[   39.60s ->    46.90s] different risk exposures using a portfolio of options and or stock. Let's begin by discussing
[   46.90s ->    53.42s] this idea of a linear approximation. We're going to talk about a first-order Taylor series approximation
[   53.42s ->    59.62s] of this polynomial function f of x, and though the mathematics may sound difficult to comprehend
[   59.62s ->    65.88s] and it may sound relatively rigorous, it's actually quite easy to interpret once we get to the visual
[   65.88s ->    72.54s] component of this, so bear with me here. What we have is this idea of an approximation of a function.
[   73.14s ->    78.06s] Now, this function could be an option pricing function, it could be a profit function, a cost
[   78.06s ->    83.48s] function, the actual interpretation of the function doesn't matter. You can still apply this Taylor
[   83.48s ->    89.36s] series expansion approximation. So what we have here is we have this function is approximately equal
[   89.36s ->    95.90s] to the function evaluated at a point of interest. This point of interest could be the current market
[   95.90s ->   101.56s] prices, the current market parameter set, it could be the parameter set yielding the profit
[  101.56s ->   109.80s] of last year. It could be the parameter set yielding the cost of last year. You can use any point of
[  109.80s ->   116.16s] interest to develop this idea of a linear approximation. So it's going to be the function
[  116.16s ->   123.34s] evaluated at that point of interest plus the first derivative of the function. Again, that function is
[  123.34s ->   128.48s] the pricing function, the profit or cost function, whatever it may be. The first derivative of that
[  128.48s ->   137.38s] function evaluated at that point of interest times a new point of interest less the point of interest.
[  137.38s ->   143.54s] So we have this idea of x zero being the initial point, the starting point, that could be the current
[  143.54s ->   149.14s] market parameter set, could be a parameter set from last year. Then we are trying to figure out,
[  149.26s ->   156.06s] hey, what does it look like at this new point of interest? That is this x, okay? So what about this
[  156.06s ->   161.82s] derivative here? What if we don't know how to compute the derivative of this function? What if it's
[  161.82s ->   169.00s] got an intractable analytical solution? Well, check out my video on why the definition of a derivative is
[  169.00s ->   175.18s] useful, and you can actually develop an approximation for this overall approximation. So you can approximate
[  175.18s ->   181.74s] this derivative, then you can approximate this overall functional approximation. So that's enough
[  181.74s ->   188.38s] mathematics, let's talk about the intuition behind the linear approximation. All this fancy terminology
[  188.38s ->   195.00s] aside, a linear approximation, linear means line. We are using a line to approximate a function.
[  195.72s ->   201.98s] We have a nonlinear function here in blue, that is this polynomial x squared. And as you can see,
[  202.88s ->   208.42s] the nonlinear function is being approximated at a point of interest, and that point of interest in this
[  208.42s ->   213.20s] case is 10. And I've created this slider to show you what happens as you change the point of interest.
[  214.93s ->   221.29s] And what you'll notice is the approximation tends to be very good about the point of interest. So we're
[  221.29s ->   229.29s] actually using a linear function to approximate a nonlinear function. That's this idea of a linear
[  229.29s ->   234.21s] approximation. And this is only a first order approximation, so the approximation can get better.
[  234.21s ->   240.89s] But let's just focus on this idea of a first order approximation. As you can see, if I go a little
[  240.89s ->   248.53s] bit to the right of the point 10, or a little bit to the left of the point 10, that is our point of
[  248.53s ->   253.35s] interest, that's our x zero. As I said, it could be the market parameter set or a parameter set for
[  253.35s ->   260.47s] profit or cost last year. The line, the linear approximation does a very good job approximating
[  260.47s ->   266.57s] the nonlinear function that is this x squared. But what you'll notice is, because it is a linear
[  266.57s ->   273.25s] approximation, it doesn't capture the growth of the polynomial. That is, as we move further away in
[  273.25s ->   278.93s] either direction, the approximation gets worse and worse. And this makes sense, right? If I gave you
[  278.93s ->   284.51s] information about this point 10, and I'm saying, hey, we're going to reduce the order of this polynomial,
[  284.51s ->   290.79s] the further we get away, this distance between the red line, the linear approximation, and the
[  290.79s ->   297.33s] nonlinear function is going to increase. This distance is the error. So as we get further away
[  297.33s ->   304.57s] from the point of interest, the error is going to increase. That is the idea of a linear approximation.
[  305.09s ->   314.45s] We can use this idea to very simply interpret how we can expect the nonlinear function to change
[  314.45s ->   322.29s] when there is a change in the input. So a unit change in the input, what can we expect
[  322.29s ->   329.87s] the overall function to change? So for example, if I have a unit change in the input of a pricing
[  329.87s ->   337.63s] function, how can I expect the price to change? If I have a unit change in the input of a profit
[  337.63s ->   345.25s] function, how can I expect the profit to change? If I have a unit change in the function or a cost
[  345.25s ->   350.71s] function, how can I expect the cost to change? So that's why this idea of a linear approximation
[  350.71s ->   355.33s] is so useful. It's very, very easy to interpret. Essentially, I'm saying is, hey, we have all these
[  355.33s ->   362.47s] inputs, we have a function that describes price, cost, profit. When I have a very small change or
[  362.47s ->   369.51s] a unit change in the input, what happens to the overall function? Does the price increase? Does
[  369.51s ->   375.01s] the profit increase? Does the cost increase? Do they decrease? That is the idea of a linear
[  375.01s ->   381.77s] approximation. So you can see here, if we move to the right, the line is increasing, and so is our
[  381.77s ->   389.47s] nonlinear function. So we expect a unit change in x to yield an increase in this polynomial function.
[  389.47s ->   396.65s] Same thing, if we step to the other direction, we expect this polynomial function to decrease. And
[  396.65s ->   403.40s] that's exactly what happens. Now, what about when we get to this new point, we're going to want to do
[  403.40s ->   409.92s] another linear approximation. So let's say we start at 10. What happens if I step to the left one? Well,
[  409.92s ->   415.32s] we're going to expect the polynomial to decrease. Now I'm going to recompute this linear approximation
[  415.32s ->   423.27s] for nine. And we can continue and do this in a iterative fashion. So we're going to continue to
[  423.27s ->   429.99s] recompute this linear approximation. So as we move about the space of this function, our linear
[  429.99s ->   435.27s] approximation is going to be centered about the point of interest that could reflect the current market
[  435.27s ->   441.51s] conditions, could reflect the current inputs into our profit function or cost function, so on and so
[  441.51s ->   447.99s] forth. So the idea of this linear approximation is it's very easy to interpret in the sense that we can
[  447.99s ->   456.23s] say what happens to the overall function based on a unit change in a particular input. And it turns out
[  456.23s ->   463.67s] if you have a variety of inputs, this makes it very easy to determine, hey, if I change this one variable
[  463.67s ->   469.67s] a little bit and I hold everything else constant, what can I expect that function to do? So if profit is a
[  469.67s ->   477.83s] function of, let's say, overall labor, and overall materials, then what happens if I increase materials,
[  477.83s ->   482.63s] what happens when I increase labor, we can see what happens to the corresponding profit function.
[  483.19s ->   488.87s] Taking a look at actual numbers, we have this linear approximation about the point 10. How good is this
[  488.87s ->   495.51s] approximation? Well, we're going to start at this point of interest 10. Let's move point one to the
[  495.51s ->   499.75s] right. What I'm going to do is I'm going to use this linear approximation, and I'm going to use the
[  499.75s ->   506.23s] actual function. So I'm going to use both the actual functional change, which is represented by a change
[  506.23s ->   513.11s] in the nonlinear function, this polynomial function, and I'm going to represent the change in the linear
[  513.11s ->   517.99s] approximation, then we're going to take a look at the error. So what I do here is I have the actual
[  517.99s ->   523.03s] function change, and I have the approximate function change. And as you can see, the actual function
[  523.03s ->   532.23s] change is 2.00 or 2.01 approximately, and the approximate function change is 2.0. That is a
[  532.23s ->   537.83s] very good approximation. Now you can do a whole bunch of analysis that's going to tell you the
[  537.83s ->   544.07s] actual interpretation and bounds of this error. But for what we're trying to use it for, this is a
[  544.07s ->   551.59s] phenomenal approximation based on the intuition that, hey, when there's a small change in this variable
[  551.59s ->   558.87s] x, how do we expect the overall function x squared to change? Clearly, when we move away from this
[  558.87s ->   565.27s] point too much, this error is going to be significantly larger. Let's give an example. As you can see,
[  565.27s ->   573.32s] we're moving point one to the right. What happens if we move five to the right? We have quite a significant
[  573.32s ->   580.15s] difference in the actual function change and the approximate function change. Moreover, if I move 10,
[  580.87s ->   585.59s] you can see that this error is going to continue to increase. And that makes sense because this
[  585.59s ->   592.07s] polynomial is growing at a much faster rate. Again, this is x squared versus just a linear approximation
[  592.07s ->   597.11s] of that function. As we move away from this initial point, this distance, you can already see it here
[  597.11s ->   604.63s] locally. As this distance, as you move away from the point of interest x zero, the distance between the
[  604.63s ->   609.99s] red line and the blue line is going to continue to increase. And that's what we can see here, you can
[  609.99s ->   616.79s] see that if the change is 10, and we're centered at point 10, then the approximate change is starting
[  616.79s ->   623.59s] to get significantly worse. If I make this now 20, it's getting even worse. If I make this now 50,
[  624.63s ->   629.27s] it's getting even worse. And that's exactly what we see in our chart here locally, we can see as we
[  629.27s ->   636.29s] deviate too much away from this point of interest x zero, the linear approximation gets worse. So
[  636.29s ->   642.13s] what can we do? Well, just like with this slider, we can just compute a new linear approximation
[  642.13s ->   647.81s] at the next point of interest. And that's going to give us the same intuition and interpretation
[  647.81s ->   654.21s] of what happens to the polynomial function. Again, that could be the pricing function, profit or cost
[  654.21s ->   660.29s] function, when there is a unit change in one of the inputs, in this case, x. All right, now that's
[  660.29s ->   665.41s] a lot of calculus. But why are we talking about linear approximations? Anyway, remember, we're trying
