[    1.34s ->     7.69s] Monte Carlo simulation and the Black Shoals model. How the heck are these connected? More
[    7.69s ->    13.97s] importantly, how can we price options using Monte Carlo simulation and of course the Black
[   13.97s ->    19.81s] Shoals model? And are these prices the same? Well, I sure hope so. Let's dive right into
[   19.81s ->    26.49s] trying to get a grip first on the relationship between an analytical expectation and a numerical
[   26.49s ->    32.95s] expectation. We're going to use a simple example of a dice roll game and then we'll build off
[   32.95s ->    38.47s] of that into the option pricing argument. Okay, so I use some fancy terminology there. Let's
[   38.47s ->    43.91s] start with this idea of an analytical expectation. All that means is there is a formula for the
[   43.91s ->    50.87s] expected value of some random variable. This random variable could be a coin flip, a Bernoulli,
[   50.87s ->    57.01s] it could be a series of coin flips, a binomial, it could be a continuous exponential random
[   57.01s ->    62.57s] variable. Depending on the randomness that we are modeling, we are going to substitute in
[   62.57s ->    68.01s] a different probability mass or density function into the equation and we're going to use either
[   68.01s ->    73.79s] a summation or an integral to accomplish this. So what I have here is the example in a discrete
[   73.79s ->    78.71s] setting for something like a coin flip, series of coin flips, things of that nature. This is
[   78.71s ->    84.65s] the formula for the expected value. If we scroll on down here, you'll see that we have an example
[   84.65s ->    91.33s] of applying this formula to a coin flip that is a Bernoulli random variable. And we go through
[   91.33s ->    96.75s] this argument here to prove that the equation for the expected value of a Bernoulli random variable
[   96.75s ->   103.17s] is simply just the probability of success P. And we do that by applying this expected value formula.
[  103.79s ->   107.51s] If we scroll down here to the continuous case, instead of a summation, we have an integral.
[  107.51s ->   112.59s] Instead of a mass function, we have a density function. And we can apply this in the same
[  112.59s ->   118.69s] capacity in a continuous setting and substituting in an exponential probability density function.
[  119.11s ->   125.07s] And if we integrate across that entire region, we will get the closed form solution for the expected
[  125.07s ->   134.63s] value. All this is to say is the analytical expectation is simply applying the formula for the expected
[  134.63s ->   140.75s] value of a random variable in either the discrete or the continuous setting discrete being something
[  140.75s ->   146.51s] countable, like one, two, three, four, things like coin flips, things like the number of blank out of
[  146.51s ->   153.93s] blank binomial, Poisson random variables for arrivals, things of that nature. You can apply this formula or
[  153.93s ->   159.29s] something continuous, think like a stock price or waiting time, then you can apply this formula and you're
[  159.29s ->   164.93s] actually going to end up with an equation. So when I say analytical expectation, I'm actually talking
[  164.93s ->   170.63s] about an equation. And this equation is derived using these definitions. And of course, once we have an
[  170.63s ->   177.53s] equation, it's very, very easy to go about finding the expected value based on the parameters. So for
[  177.53s ->   183.83s] example, if we have a coin flip, and it's 5050, the expected value is just going to be the probability of
[  183.83s ->   188.87s] success, which in that case would be 0.5. If I had a weighted coin, and the probability of success was
[  188.87s ->   195.59s] 0.7, then my expectation would be 0.7. Moreover, down here, if I have some sort of exponential
[  195.59s ->   202.01s] distribution parameterized by lambda two, then the expected value for that exponential distribution
[  202.01s ->   207.73s] would be one half, perhaps modeling wait time in minutes or something of that nature.
[  209.02s ->   213.00s] If we scroll on down here, what I'm going to do is actually I'm going to visualize these
[  213.00s ->   217.38s] distributions. So what I have here is I have a Bernoulli distribution, that's a coin flip,
[  217.86s ->   222.56s] but this is going to be a weighted coin, the probability of success has a weight of 0.7,
[  223.12s ->   227.20s] probability of failure has a weight of 0.3. So you could think of this as heads and tails,
[  227.32s ->   232.54s] success, failure. And then I also have an exponential distribution here parameterized by lambda equals two.
[  232.92s ->   239.44s] So this is the mass function over here. And this is the density function over here. And the analytical
[  239.44s ->   245.22s] expectation, just as I had said before, for each of these respectively will be 0.7 and 0.5. And it's
[  245.22s ->   251.58s] very, very easy to find the expected value of these random variables, because we're able to just go
[  251.58s ->   258.80s] about plugging in the parameters into the formula for the expected value that we've found by applying
[  258.80s ->   267.08s] the formal definition for each of the discrete and continuous cases. Now, what if I can't use the
[  267.08s ->   272.88s] definition of the expected value to find this equation? What I mean is, if we go back up to
[  272.88s ->   280.04s] these definitions, we have a summation in the discrete sense, and we have an integral in the
[  280.04s ->   288.28s] continuous sense. These may yield some very, very challenging equations to solve. And in some cases,
[  288.28s ->   294.36s] they may be intractable. Intractable to mean we can't solve them analytically, as seen here,
[  294.36s ->   300.06s] where we end up with just a nice explicit equation for the expected value. I just plug in P and I find
[  300.06s ->   305.10s] the expected value. I plug in lambda, I find the expected value. Sometimes we're going to get
[  305.10s ->   311.56s] equations with this summation and with this integral that are absolutely crazy. Maybe it's over an
[  311.56s ->   316.26s] infinite region that makes it very difficult to integrate or sum over. Maybe there's some weird
[  316.26s ->   322.78s] product going on. Who knows? But the point is, these may be intractable to solve analytically.
[  322.78s ->   328.42s] I may not be able to find a nice explicit closed form solution. So what can we do? What's our next
[  328.42s ->   335.32s] best bet? Well, we can do something called Monte Carlo simulation. Monte Carlo simulation means I'm
[  335.32s ->   341.18s] going to sample from these distributions. I'm going to draw randomly, boom, a Bernoulli, and then I'm
[  341.18s ->   345.68s] either going to get a success or a failure. I'm going to draw from this exponential distribution,
[  345.84s ->   351.48s] perhaps modeling wait time, and I'm going to get an example wait time. And if I continue to sample
[  351.48s ->   356.88s] from these distributions, then what I can do is I can collect a set of these values. So I'm going to
[  356.88s ->   362.08s] end up having success, success, failure, success, success, success, failure. I'm going to have a set
[  362.08s ->   368.72s] of values. I can add them all up, divide by the total number of draws, and I'm going to be able to
[  368.72s ->   376.52s] compute a sample average. And I can do that in both the discrete and the continuous sense. So by being able
[  376.52s ->   383.00s] to draw from these distributions, I can come up with an approximate average. And that's exactly what
[  383.00s ->   388.58s] Monte Carlo simulation is. Instead of going out and sampling, say, maybe people, because I'm trying to
[  388.58s ->   394.28s] compute maybe the average height of a population, I can just use Monte Carlo simulation to repeatedly draw
[  394.28s ->   400.50s] from a distribution with a fixed parameter. So here the exponential has a fixed parameter of lambda
[  400.50s ->   407.78s] equals 2. The Bernoulli has a fixed parameter of p equals 0.7. I can continue to draw from these,
[  408.22s ->   413.94s] and then I can take the average, and I'll have an approximation for the true expectation.
[  414.64s ->   420.30s] So what does that look like? Well, I have a little naive example here with two for loops. So what I'm
[  420.30s ->   425.02s] going to do is I'm going to draw from the Bernoulli distribution, and I'm going to draw from the
[  425.02s ->   429.80s] exponential distribution, and I'm going to take the average of the samples. And when I do that,
[  429.80s ->   439.00s] what you'll see here is the Bernoulli Monte Carlo sample mean is 0.7011. Very, very close to the
[  439.00s ->   445.80s] analytical 0.7. So it's very, very close. The exponential is 0.5023. Again, very, very close
[  445.80s ->   453.52s] to the analytical. Now, why does this work? Something that I feel is not drawn as a connection
[  453.52s ->   461.36s] is why this sampling procedure works. I'm able to simulate draws from each of these distributions
[  461.36s ->   469.30s] with a fixed parameter set, but why is it very close to the analytical value? We did not apply
[  469.30s ->   475.56s] the formula. Remember, all we're doing is we're sampling these values, adding them all up, and then
[  475.56s ->   482.38s] dividing by the total number of samples. And somehow we're close to the actual value given by the closed
[  482.38s ->   490.82s] form solution in both of these examples. So why is this the case? Turns out this is no coincidence.
[  491.28s ->   496.42s] And a lot of students hear about the law of large numbers and the central limit theorem, and maybe
[  496.42s ->   501.98s] even an AP statistics course back in high school, but rarely do we actually see what it means in the
[  501.98s ->   508.34s] context of simulation, especially at that point in time. And what we have here is the law of large
[  508.34s ->   515.60s] numbers stating that if we are to repeatedly sample from a distribution, and we sum up all of those
[  515.60s ->   521.86s] values and divide by the total number of values, in this case, n is some arbitrary sample size,
[  522.54s ->   530.24s] as n approaches infinity, that is, as our sample size becomes arbitrarily large, this value,
[  530.24s ->   539.70s] 1 over n, the summation of all of our samples, is going to converge almost surely to our theoretical
[  539.70s ->   544.90s] expectation. This is an incredible result. This is a very, very important and incredible result.
[  545.26s ->   550.62s] I don't feel that the law of large numbers is appreciated as much as it should be, especially
[  550.62s ->   555.40s] in the context of the central limit theorem, which pretty much takes center stage, especially in
[  555.40s ->   562.14s] testing. But here, this result is the reason why we are able to do this Monte Carlo simulation
[  562.14s ->   569.50s] and come up with an approximation for the expected value, that is, the theoretical expected value. It's
[  569.50s ->   575.22s] because it's going to converge almost surely to the theoretical expected value as the sample size
[  575.22s ->   581.00s] becomes arbitrarily large. That is why we're able to do Monte Carlo simulation. That's why we're able to do
[  581.00s ->   588.68s] Monte Carlo pricing. So, in other words, if we can express an options price in terms of an expectation,
[  589.50s ->   595.12s] that is, this right-hand side, where x is the option price, then we can conduct Monte Carlo simulation
[  595.12s ->   602.06s] to figure out an approximation for that price. And that is the connection between Monte Carlo simulation
[  602.06s ->   609.30s] for pricing and closed-form expressions like the Black-Scholes model for pricing. Let's see this in action.
[  609.30s ->   613.94s] I've long said, anytime you're dealing with randomness, you're really dealing with a game
[  613.94s ->   619.66s] of uncertainty, and you can frame it as such. So, what I like to do is, I like to take a very simple
[  619.66s ->   625.92s] example of some sort of game and apply these ideas, and then we can extend them to a more complicated
[  625.92s ->   630.66s] game where we're trying to price some sort of financial derivative. In this case, we're going to
