[    0.46s ->     8.08s] There are a few things I love as much as quantitative finance, and phishing is certainly
[    8.08s ->    13.74s] up there. Every time I'm out, I can't help but to think to model my catch rate as a Pusan
[   13.74s ->    20.46s] random variable. Hey guys, Roman here, quantitative researcher and trader, founder of Quant Guild.
[   20.86s ->    26.40s] In this video, we're going to talk about Pusan processes specifically for Quant Finance. We're
[   26.40s ->    30.74s] not going to be modeling any catch rates in this video. We're going to get started with
[   30.74s ->    37.44s] this idea of a Pusan distribution. We'll talk about the idea of stationarity and non-stationarity,
[   37.60s ->    43.94s] the impact in our models, subsequent probabilities, and statistics. We'll then talk about the
[   43.94s ->    50.20s] exponential distribution, this memoryless property, and how it connects to the idea of a Pusan
[   50.20s ->    56.04s] process. We'll define a Pusan process, look at some simulations, really understand this
[   56.04s ->    62.94s] idea of independent and stationary increments, how the exponential distribution plays a role
[   62.94s ->    71.60s] in the waiting times. And then we'll look at an implementation of a time inhomogeneous Pusan process,
[   72.10s ->    78.24s] the Hawks process in practice. Of course, when you go fishing, there's a non-zero probability that
[   78.24s ->    84.30s] you walk away with nothing. That's why they call it fishing and not catching. Unlike my YouTube videos,
[   84.30s ->    90.24s] where you will always have a 100% probability of walking away with a Jupyter notebook, this Jupyter
[   90.24s ->    94.80s] notebook will be linked in the description below. I'll also post it to the Quant Guild library on
[   94.80s ->    99.56s] GitHub, where you can find all of my Jupyter notebooks and associated YouTube videos, along with
[   99.56s ->   104.12s] all of the source code for my Quant builds. At the top of this Jupyter notebook, you'll notice some
[  104.12s ->   110.36s] related Quant Guild videos applying probability and statistics to finance and trading, this idea of
[  110.36s ->   117.30s] Monte Carlo simulation and why it works, stochastic differential equations for pricing financial
[  117.30s ->   123.44s] derivatives, the central limit theorem, one of the main results in probability and statistics that we
[  123.44s ->   130.98s] often use in practice, why quant models break at the end of the day and why everyone still has a job,
[  131.30s ->   136.36s] this idea of Brownian motion, which is going to be the driver for many of our stochastic models,
[  136.36s ->   144.16s] and of course, the five papers that built modern quant finance, all implementing the previous
[  144.16s ->   149.54s] topics. If you're unfamiliar with any of these ideas, I highly recommend you check these videos
[  149.54s ->   155.64s] out first before tackling one like this. Moreover, these videos certainly take a lot of effort to
[  155.64s ->   159.64s] create, so if you'd like to help support the channel so I can continue to create videos just like
[  159.64s ->   164.14s] this one, please like, comment, subscribe, share. It helps me out tremendously. It is always greatly
[  164.14s ->   170.14s] appreciated. And if you'd like to master your quantitative skills, check out quantguild.com.
[  170.50s ->   175.42s] Maybe you come from a background in business, economics, computer science, and aren't too sure
[  175.42s ->   180.92s] where to get started on your quant journey. Maybe you're an aspiring quant or a working professional
[  180.92s ->   187.04s] looking to sharpen those technical skills. In any case, Quant Guild is for you. We have over 90
[  187.04s ->   193.70s] quant lessons in math, probability, finance, an adaptive practice engine that scales with your skill
[  193.70s ->   199.72s] level so you can progress to more and more difficult topics with gamified rank-based progress,
[  200.20s ->   207.98s] interview questions with fully worked solutions, trading games, courses from A to Z in probability
[  207.98s ->   215.22s] and statistics, coding, math, and more on the way. And all that's included with Quant Guild membership.
[  215.44s ->   219.46s] And you can get started right now for free. So if you'd like to help support the channel
[  219.46s ->   226.14s] and master your quantitative skills, check out quantguild.com. Without further ado, let's get
[  226.14s ->   232.80s] started by talking about this idea of a Poisson distribution or a Poisson random variable. What
[  232.80s ->   239.76s] is it actually used for? Well, this particular random variable is used to model rare events over a
