[    0.46s ->     7.87s] trading is an industry with way too much misinformation and outright fraud news outlets
[    7.87s ->    14.51s] they just want your attention brokers want your commission and trading gurus will try to sell you
[   14.51s ->    21.81s] on that one strategy that actually works when in reality everyone is just preying on people that
[   21.81s ->    28.41s] don't understand the math behind trading and how the space actually works in this video what i'm
[   28.41s ->    33.95s] going to do is bust three trading myths as a professional quantitative researcher and trader
[   33.95s ->    41.67s] the only remedy that i can see to this misinformation and outright fraud is education so in this video what
[   41.67s ->    48.05s] we're going to do is we are going to tackle these three trading myths and disprove all of them with
[   48.05s ->    54.89s] math trading is not a get rich quick scheme guaranteed returns are never true unlike access to a jupiter
[   54.89s ->    58.97s] notebook with a new quant guild video which is always true this jupiter notebook will be linked
[   58.97s ->    63.19s] in the description below i will also post it to the quant guild library on github where you can find
[   63.19s ->    68.47s] all of my jupiter notebooks and associated youtube videos along with all of the source code for my
[   68.47s ->    72.95s] quant builds at the top of this jupiter notebook you'll notice some related quant guild videos
[   72.95s ->    78.73s] applying probability and statistics to finance and trading this idea of time series analysis retail
[   78.73s ->    83.77s] versus institutional trading trading versus investing this idea of expected value and
[   83.77s ->    88.69s] accumulating expected value over time and of course the difference between quantitative and
[   88.69s ->    93.35s] discretionary trading if you're unfamiliar with any of these ideas i highly recommend that you check
[   93.35s ->    98.89s] these videos out first before tackling one like this moreover these videos certainly take a lot of
[   98.89s ->   102.55s] effort to create so if you'd like to help support the channel so i can continue to create videos
[  102.55s ->   107.71s] just like this one please like comment subscribe share it helps me out tremendously it is always greatly
[  107.71s ->   113.29s] appreciated and if you'd like to master your quantitative skills check out quant guild.com
[  113.29s ->   117.59s] maybe you come from a background in business economics computer science maybe you're an aspiring
[  117.59s ->   123.63s] quant or a working professional looking to sharpen your quantitative skills in any case quant guild is for
[  123.63s ->   130.41s] you we have over 90 quant lessons in math probability finance an adaptive practice engine that scales with
[  130.41s ->   135.55s] your skill level so you can progress to more and more difficult topics with gamified rank-based
[  135.55s ->   141.45s] progress interview questions with fully worked solutions trading games coming soon courses from
[  141.45s ->   148.17s] a to z from the ground up in math probability statistics coding data science and all that's
[  148.17s ->   152.95s] included with quant guild membership and you can get started right now for free so if you'd like to
[  152.95s ->   159.33s] help support the channel and master your quantitative skills check out quant guild.com this brings us to
[  159.33s ->   168.79s] the first myth that trading is gambling and the market is random trading is not gambling and the market is
[  168.79s ->   174.73s] not random to understand why this is the case we need to discuss the difference between a random and an
[  174.73s ->   180.21s] uncertain system then we can talk about the difference between a game of chance and a game of incomplete
[  180.21s ->   188.39s] information when it comes to a random or an uncertain system the outcome of any event is unknown this is where
[  188.39s ->   195.75s] they're similar but where they differ is in the likelihood of those outcomes a random system has
[  195.75s ->   201.79s] predefined probabilities that do not change for each outcome that might occur you can think of something
[  201.79s ->   208.71s] like craps you can think of something like roulette the probability of red green and black in roulette do not
[  208.71s ->   216.97s] change that is a random system an uncertain system you can think of things like poker or the stock market
[  216.97s ->   225.57s] the likelihood of events occurring over time certainly change and that is the fundamental difference
[  225.57s ->   231.91s] between the two systems so if the outcomes are unknown then how do we evaluate performance well
[  231.91s ->   240.03s] typically we look at expected value or this idea of edge here is the equation for the expected value or
[  240.03s ->   246.25s] edge in the context of a random or an uncertain system and this tells us effectively
[  246.25s ->   252.85s] how our wealth path is going to evolve over time whether we're going to be accumulating wealth
[  252.85s ->   261.27s] or losing it let's look at an example of edge or expected value in a random system that is roulette
[  261.27s ->   266.53s] there's nothing that a player can do besides martin galing roulette which is of course going to be
[  266.53s ->   274.07s] banned at any casino you play at to influence the overall edge of the game in other words we've all heard of
[  274.07s ->   280.09s] this house edge if any player plays roulette statistically eventually they are going to lose
[  280.09s ->   285.71s] all of their money and i have a simulation here where you can actually see what happens to a couple
[  285.71s ->   291.03s] of different players who continue to play roulette you can see most of them go bankrupt except for this
[  291.03s ->   298.25s] one lucky guy here who actually made almost double his initial bankroll and this is where the idea of
[  298.25s ->   304.71s] expected value comes into play we don't know what the outcome of any one spin of the roulette wheel
[  304.71s ->   310.73s] is going to be the outcomes themselves are random but the expected value tells us something about the
[  310.73s ->   317.95s] overall trajectory of our wealth path so as you can see here i actually compute it for american roulette
[  317.95s ->   326.05s] and each play has a negative expected value of negative five dollars and 26 cents this means on average
[  326.05s ->   332.95s] every single player that plays is going to lose that amount of money now if they're losing it then
[  332.95s ->   338.95s] who's gaining it well that's going to be the casino that is exactly this idea of a house edge this is a
[  338.95s ->   345.93s] game of chance this is gambling there's nothing that any of these players can do to influence that
[  345.93s ->   354.33s] expected value they have a fixed negative edge against them and they will always lose all of their money
[  354.33s ->   361.43s] if they continue to play this game the only optimal decision to make is to not play so this is a random
[  361.43s ->   369.31s] system this is a game of chance this is gambling why is the market not random and why is trading not
[  369.31s ->   377.43s] gambling well to understand why we need to look at this idea of expected value why is this guaranteed
[  377.43s ->   386.73s] by the casino in other words mathematically why do we know the house has this fixed negative edge this is of a great
[  386.73s ->   392.33s] deal of interest to us because if this was positive then if we kept playing roulette we would just continue to make
[  392.33s ->   402.71s] money so what guarantees that this edge is negative well that is going to be effectively the law of large numbers this is the
[  402.71s ->   407.39s] strong law of large numbers here we're not going to focus on the mathematics we're going to look at a
[  407.39s ->   412.97s] simulation to understand exactly what's going on here so the law of large numbers is essentially saying
[  412.97s ->   420.75s] if we continue to spin the roulette wheel then we are guaranteeing probabilistic convergence in a frequentist sense
[  420.75s ->   427.57s] to each of the outcomes that are defined theoretically in other words if i continue to spin this roulette wheel
[  427.57s ->   435.55s] the proportion of red black and green that i see is going to converge to the theoretical probability
[  435.55s ->   441.41s] with probabilistic certainty that is exactly the simulation that you're seeing here you can see these
[  441.41s ->   448.51s] bars are the relative frequencies that we are observing green red and black and at infinity it's going to
[  448.51s ->   455.83s] converge to the theoretical values in other words the probabilities of seeing red black and green
[  455.83s ->   463.25s] are not going to change over time they are going to be fixed and as we continue to spin the roulette wheel
[  463.25s ->   471.07s] they are going to converge to this value they are going to converge to this net negative expectation
[  471.07s ->   478.73s] for the player this is what ensures the house edge and this is what ensures a fixed negative edge against the
[  478.73s ->   484.77s] players the probability of winning and losing as a player converges to those theoretical values
[  484.77s ->   490.61s] and when we plug them into the expected value equation then we are guaranteed to get this expected
[  490.61s ->   498.85s] value that is less than zero in other words players will statistically always lose all of their money
[  498.85s ->   504.61s] just like how we don't know the outcome of any one spin of the roulette wheel we don't know what the outcome
[  504.61s ->   512.77s] of any one trade is going to be so we can apply this equation the expected value equation to trading and if it is
[  512.77s ->   518.61s] positive we will be accumulating wealth and if it is negative we will be accumulating losses
[  518.61s ->   527.65s] just as we see here now the key difference between an uncertain and a random system is that a random system
[  527.65s ->   535.33s] has fixed probabilities just as we saw above here with the law of large numbers these probabilities will converge
[  535.33s ->   545.01s] along with the fixed negative expected value but in an uncertain system this is not true this is why when
[  545.01s ->   553.17s] we apply probability and statistics to finance and trading we are often very wrong this is because
[  553.17s ->   562.53s] the market is not random there is no convergence i have a simulation here to show you exactly what's going on
