[    0.46s ->    10.52s] it's the end of an era the hair has been cut and because i no longer have the long hair
[   10.52s ->    16.68s] i have lost all ability to do any sort of quantitative finance i no longer can do
[   16.68s ->    20.86s] any sort of marcovian analysis i can no longer do my stochastic calculus
[   20.86s ->    25.46s] and of course that means that i've been suffering on all of my exams as of late
[   25.46s ->    32.36s] but all jokes aside in this video what i really want to do is i want to talk about the current
[   32.36s ->    37.96s] landscape the current macro environment the current market environment and discuss some
[   37.96s ->    43.06s] interesting trends discuss some interesting news to look out for next week and the following week
[   43.06s ->    49.94s] and really just make a a nice little summary of the current market climate and kind of talk about
[   49.94s ->    56.54s] you know what my strategy is going forward at least in my own portfolio now this is not investment
[   56.54s ->    63.54s] advice okay i have absolutely no no interest in giving formal investment advice to all of you
[   63.54s ->    69.52s] right now what that means is i don't want to hear about your naked call options that you bought after
[   69.52s ->    76.28s] watching this video that have lost all value i really really cannot stress that enough this is not a
[   76.28s ->    83.10s] video giving you any form of investment advice in the comments below if you would like to comment
[   83.10s ->    88.98s] your views or if you would like to speculate or if you would like to engage in some discourse about
[   88.98s ->    94.18s] my views please do i do encourage that you can also join discord where we can have a more formal
[   94.18s ->   100.56s] conversation um but yeah let's go ahead and get into it what is going on right now in the economy
[  100.56s ->   106.08s] what's going on right now in the markets well to nobody's surprise the s&p 500 has been
[  106.08s ->   116.94s] cooking recently we saw all-time highs not only in the s&p 500 but also with nvidia's market cap
[  116.94s ->   128.54s] going over a trillion dollars so let's just look at nvidia for a second 2.06 trillion dollars
[  128.54s ->   135.68s] and if we look at year to date that is some ridiculous growth stock price practically doubling
[  135.68s ->   144.75s] within this roughly two month period um this is just leading the charge for the s&p 500 right
[  144.75s ->   162.22s] if we take a look at the s&p 500 let's go to bar chart look at the full chart here we can see an
[  162.22s ->   171.50s] all-time high how about that we are at an all-time high in the market so what does that mean well let's
[  171.50s ->   177.52s] take a look at the current sector map let's take a look at the year to date sector map we can see
[  177.52s ->   183.62s] tech spearheading this of course that's not a surprise we saw nvidia we see all of these technology
[  183.62s ->   189.36s] stocks that are kind of riding this wave the semiconductors like nvidia we see rambis we see
[  189.36s ->   198.26s] taiwan semiconductor um all of these ai companies everybody is super hyped up on um a lot of people
[  198.26s ->   204.96s] are even kind of trying to compare this to the dot-com bubble of you know 1999 2000 2001
[  204.96s ->   214.38s] but the the big difference between that bubble and this current landscape is they're cash rich
[  214.38s ->   222.16s] you know those those dot-com companies ipo'd and were burning cash they had absolutely no earnings
[  222.16s ->   226.00s] to show for it but if you take a look at any of these companies valuations are very strong
[  226.00s ->   232.50s] moreover we don't see stagnant growth in any of these sectors right you know poor utilities and
[  232.50s ->   237.64s] real estate down here for sure commercial i believe is what's driving real estate down significantly but
[  237.64s ->   244.14s] over that we can see everything from staples discretionary industrials we see growth everywhere
[  244.14s ->   250.56s] right it's important to realize the s&p 500 is a market cap weighted index as well so we see a year
[  250.56s ->   258.38s] to date growth of 7.7 percent already that is that is cooking right on average it's it's 10 percent
[  258.38s ->   266.26s] year over year but if we take a look at the equal weighted index right the spw here we see that it is
[  266.26s ->   274.20s] 3.61 so there's still growth but not as much and of course that's due to the lack of weight in those
[  274.20s ->   282.06s] companies that are essentially leading the charge in growth for the s&p 500 here all right so we see
