[    0.46s ->     6.88s] Hey guys, Roman here, quantitative researcher and trader, founder of QuantGuild. Today,
[    7.00s ->    12.50s] we're going to talk about the five papers that built modern quantitative finance from a forgotten
[   12.50s ->    19.62s] PhD thesis to the market price of risk, the mathematical backbone of options markets,
[   19.62s ->    27.48s] and the computational breakthroughs that enable us to price these instruments in seconds. If you
[   27.48s ->    36.26s] want to understand the why behind the how, these are the papers that you need to know. As always,
[   36.38s ->    39.80s] this Jupyter notebook will be linked in the description below. I will also post it to the
[   39.80s ->    44.32s] QuantGuild library on GitHub, where you can find all of my Jupyter notebooks and associated YouTube
[   44.32s ->    49.22s] videos, along with all of the source code for my quant builds. At the top of this Jupyter notebook,
[   49.22s ->    54.92s] you'll notice some related QuantGuild videos actually implementing the results of these papers
[   54.92s ->    60.12s] in a variety of different ways. How to trade with the Black-Scholes model, Heston stochastic
[   60.12s ->    65.18s] volatility and fast Fourier transforms, Brownian motion for Quant Finance, the main driver of
[   65.18s ->    71.92s] many of these results, how physics accidentally proves the Black-Scholes model, the difference
[   71.92s ->    78.98s] between exposure to priced risk and alpha, and of course, if you're interested in my background,
[   78.98s ->    85.60s] a video discussing my life as a quant. Moreover, these videos certainly take a tremendous effort
[   85.60s ->    89.28s] to put together, so if you'd like to help support the channel so I can continue to create videos
[   89.28s ->    94.12s] just like this one, please like, comment, subscribe, share. It helps me out tremendously. It is always
[   94.12s ->   100.08s] greatly appreciated. And if you'd like to master your quantitative skills, check out QuantGuild.com.
[  100.18s ->   106.52s] We have an adaptive practice engine that scales with your skill level, over 90 quant lessons in math,
[  106.52s ->   114.60s] probability, and finance, courses from A to Z in stats, coding, mathematics, with more on the way,
[  114.82s ->   120.46s] and all that's included with QuantGuild membership. And you can get started right now for free.
[  120.86s ->   127.88s] So if you'd like to help support the channel and master your quantitative skills, check out QuantGuild.com.
[  127.88s ->   136.50s] Without further ado, let's get started by talking about Bachelier's Theory de la Speculation.
[  136.52s ->   140.98s] Now, I will never be a French mathematician for a variety of reasons. First and foremost,
[  141.18s ->   147.12s] I am not French, but Louis Bachelier was. He studied at the Sorbonne under the legendary Henry
[  147.12s ->   154.62s] Poincare, and yes, it is in fact that Poincare. He revolutionized our understanding of uncertainty
[  154.62s ->   161.90s] and randomness in the financial markets. He actually introduced the notion of Brownian motion
[  161.90s ->   170.30s] even years before Einstein formalized it in physics. Now, imagine that you revolutionize
[  170.30s ->   178.42s] an entire industry, but your genius is so before the necessary time that you graduate from your
[  178.42s ->   185.24s] program after coming up with this dissertation with an honorable distinction rather than a very
[  185.24s ->   192.96s] honorable distinction. His research was ignored largely for a very many number of years before
[  192.96s ->   201.42s] eventually it was uncovered and he was recognized as the father of financial mathematics. What I have
[  201.42s ->   208.30s] here is an animation that is effectively exhibiting the key results of his research. That is, we have this
[  208.30s ->   214.84s] idea from heat dynamics and probability where probability is going to spread out over time. We're looking at a
[  214.84s ->   220.52s] simulation of arithmetic Brownian motion paths, and what I want you to notice is as I continue to play
[  220.52s ->   228.24s] this animation, uncertainty actually starts relatively contained around the initial spot price, and then as
[  228.24s ->   235.24s] time progresses, we notice that the variance of the distribution is going to increase, and that is
[  235.24s ->   241.50s] exactly what we see here. If I'm to go frame by frame, we can see the distribution tightening as we go back to
[  241.50s ->   249.72s] the origin. And then as we continue to go out in this animation, as time progresses, uncertainty is going
[  249.72s ->   257.10s] to increase. He not only formalized this idea in the financial markets, but he even came up with a
[  257.10s ->   266.28s] remarkably accurate pricing formula under this arithmetic structure that is an echo to the work that is to
[  266.28s ->   275.88s] follow in black shoals. Now, of course, with these arithmetic paths, we can have negative values for the price
[  275.88s ->   282.92s] process, which we can't observe in practice for something like an equity. But when oil prices went
[  282.92s ->   291.16s] negative over COVID, some desks referred back to the Bachelier model so that they could in fact accurately price
[  291.16s ->   298.28s] price, instruments with negative values. It's hard to understate the genius of this thesis. This was
[  298.28s ->   305.68s] 1900. Actually, I couldn't just hop on Stack Overflow and simulate Brownian Motion with NumPy. He didn't even
[  305.68s ->   311.48s] know Brownian Motion was yet a thing. Portfolio replication in the context of a complete and risk
[  311.48s ->   319.18s] neutral market didn't exist yet. Feynman-Cack connecting the stochastic representation to a closed
[  319.18s ->   325.44s] form solution in that risk neutral portfolio replication sense wasn't even a thing. And he
[  325.44s ->   333.16s] had already developed a remarkably consistent first of its kind model. We have him to thank for founding
[  333.16s ->   339.98s] this entire stream of literature of financial mathematics. Years later, financial economists were
[  339.98s ->   347.06s] wrestling with this idea of portfolio diversification. In the 50s, Markowitz had already founded portfolio
[  347.06s ->   356.52s] theory and the idea that the only free lunch in economics was diversification. And Sharp in 1964
[  356.52s ->   363.84s] builds on that theory. And yes, this is William Sharp of the Sharp Ratio, which I'm sure we all have
[  363.84s ->   371.64s] heard of. He asks, what actually determines the prices of assets in a market where everyone is
[  371.64s ->   379.24s] optimizing their portfolios? This would lead to the capital asset pricing model building on portfolio
[  379.24s ->   388.20s] theory. Markowitz's work in 1964, his paper introduced the concept that only systematic or market risk
[  388.20s ->   397.74s] should be rewarded because idiosyncratic risk, firm-specific risk can be diversified away. This would lead
[  397.74s ->   407.94s] to the idea of beta and alpha, which every quant is actively chasing today. What I have here is an
[  407.94s ->   416.06s] animation for you of the practical implications of Sharp's work. This is looking at only one price risk
[  416.06s ->   422.94s] factor. But this founded the entire body of literature for further work. Fama French, three-factor,
[  422.94s ->   429.50s] five-factor, factor zoos, so on and so forth. What you're observing here is on the left, a portfolio
[  429.50s ->   436.88s] outperforms the market with a sharp ratio of roughly 2.5. On the right, we have another portfolio that
[  436.88s ->   444.06s] outperforms the market with a sharp ratio of roughly 2.5. In Sharp's perfect world, with the capital asset
[  444.06s ->   451.72s] pricing model, both portfolios should be just a form of leveraged market returns. But in practice,
[  451.72s ->   457.88s] the market does not perfectly account for all of the returns available to us. The market is not
[  457.88s ->   463.76s] perfectly efficient. And what you're seeing here is on the left, the portfolio that outperforms the
[  463.76s ->   469.84s] market is just taking on extra market exposure. That is what you're seeing here. The returns are
[  469.84s ->   476.70s] highly correlated. Everything about this portfolio outperforming the market is just a leveraged version
[  476.70s ->   482.50s] of the market itself. There is no outperformance in that sense. It's only exposure to the market
[  482.50s ->   489.62s] factor. But the portfolio on the right here has absolutely nothing to do with the market exposure.
[  490.24s ->   495.30s] If the market were to tank, this portfolio would tank alongside with it, and this one would continue
[  495.30s ->   503.16s] to outperform. It is earning purely alpha. Now, in this model, we're only looking at one priced risk
[  503.16s ->   510.90s] factor, this market risk. In reality, there are other forms of risk that are compensated in the cross
[  510.90s ->   518.56s] section. And that is exactly what makes this work so important, so foundational. This is effectively
[  518.56s ->   525.76s] telling us, are the returns that we're observing in our portfolio a result of exposure to the market,
[  525.76s ->   535.62s] or another price risk factor, or is it some form of unexplainable skill, or taking advantage of a
[  535.62s ->   544.10s] structural inefficiency, a mispricing. A very important work in the quantitative finance literature.
[  544.40s ->   550.54s] By the 70s, a tremendous amount of work had already been done in portfolio theory and asset pricing,
[  550.54s ->   557.80s] but the world was about to be changed forever. And that is, of course, by Block and Scholls in 1973,
[  557.80s ->   564.54s] with their paper, The Pricing of Options and Corporate Liabilities. Now, the innovation came
[  564.54s ->   570.38s] from the portfolio replication argument. Instead of trying to forecast the underlying asset prices,
[  570.48s ->   575.78s] what they did was come up with this replication argument. In the assumptions of no arbitrage,
[  575.78s ->   580.52s] continuous trading, frictionless markets, the price of the option must be equal to
[  580.54s ->   587.70s] the cost of setting up and maintaining a hedge. What this did is it translated the world from
[  587.70s ->   595.40s] one of risk, the so-called P measure, to one that is in fact riskless. If a change in the underlying
[  595.40s ->   603.24s] asset occurs, you are perfectly hedged. If your portfolio then earns no risk, you must earn the risk-free
[  603.24s ->   612.24s] rate. This innovation not only changed the way that we approach pricing, but it also gave us,
[  612.24s ->   618.90s] of course, the incredible Black-Scholls implied volatility measure. That is, we could invert
[  618.90s ->   624.80s] the Black-Scholls model, the solution to the Black-Scholls equation, to figure out in a forward-looking
[  624.80s ->   632.06s] way how traders were pricing volatility today. What I have here is an example of the implications of the
[  632.06s ->   638.28s] Black-Scholls model. The model itself assumes a geometric Brownian motion, and there's only one
[  638.28s ->   644.94s] source of randomness in the stock price process itself, meaning that volatility is, in fact,
[  645.50s ->   653.22s] constant. So if I was to simulate the geometric Brownian motion and price and option under the Black-Scholls
[  653.22s ->   662.44s] framework, I would have to select the same volatility for every strike and every time to maturity. Now,
[  662.52s ->   670.28s] the problem with that, as we are going to discuss in the next piece of literature, is that in reality,
[  670.44s ->   677.18s] the volatility surface is not flat. Now, that doesn't mean that we can't use the Black-Scholls model
[  677.18s ->   685.20s] to invert the volatility for every point on this grid, but what it does mean is that the inversion
[  685.20s ->   692.62s] isn't going to yield a flat surface. It is, in fact, going to have some form of a skew or a smile,
[  692.86s ->   698.80s] and, of course, the term structure relative to the maturity. Now, what you're seeing here in this
[  698.80s ->   705.92s] simulation on the right is this idea of the risk neutrality. We have the P measure, where in
[  705.92s ->   713.74s] expectation, we are bearing risk holding this underlying asset. We have a drift of roughly 18%
[  713.74s ->   721.82s] in this example, but if we have risk neutral dynamics, then in expectation, we are just going to be
[  721.82s ->   729.72s] earning the risk-free rate. That is what makes this market complete. There is only one source of
[  729.72s ->   735.64s] randomness. So when we take a look at these two measures, the only difference is,
[  735.64s ->   740.78s] in expectation, we are going to be earning the risk-free rate. That is what it means
[  740.78s ->   747.36s] to operate under the Q measure. Now, that's certainly some nice theory, but the real-world
[  747.36s ->   754.54s] implications of this paper are absurd, to say the least, not just in the implied volatility measure
[  754.54s ->   761.78s] that we get or even applying this model to real options, but that is in the context of market
[  761.78s ->   770.78s] making. Years later, Feynman-Cack in physics would connect parabolic PDEs, that is the Black-Scholes
[  770.78s ->   776.62s] equation, which is just a transformed version of the heat equation, to the risk neutral price
[  776.62s ->   782.44s] guaranteed by the fundamental theorem of asset pricing. What does that mean for trading desks?
[  782.90s ->   790.78s] Well, we can use this portfolio replication argument in more intricate models to derive a mid-price.
[  790.78s ->   798.32s] Then we can bake in adjustments. We can adjust for counterparty risk, liquidity, profit, then quote
[  798.32s ->   807.28s] our prices to a client. Once we transact, we hedge. And on average, if we hedge effectively,
[  807.62s ->   814.60s] then what will we end up with? That is the expected price, that mid-price. But remember,
[  814.60s ->   821.88s] we didn't transact at the mid-price. We transacted at the bid or the ask offer. That is how we collect
[  821.88s ->   828.26s] the spread as a market maker. That is the absurd implication of the Black-Scholes model. And that is
[  828.26s ->   836.56s] one of the reasons why it was so innovative. Now, the options markets at this point in history had a
[  836.56s ->   843.84s] big problem. And that is that the new math presented by the Black-Scholes model was underestimating
[  843.84s ->   850.20s] tail risk. What I mean by that is, for a collection of strikes and maturities, the implied volatility
