[    0.46s ->     7.76s] All right, it's time. It's time to open Pandora's box. We're going to discuss
[    7.76s ->    16.68s] time series analysis. Now, time series analysis is the most misunderstood and misrepresented topic
[   16.68s ->    23.36s] in all of quantitative finance. And I say this as both an academic and a professional,
[   23.36s ->    31.68s] someone who has taken undergraduate courses, graduate courses, PhD level courses, research
[   31.68s ->    40.04s] seminars and time series analysis econometrics, but also somebody who has deployed production
[   40.04s ->    48.60s] systems using these techniques for pricing and market making. I see the disconnect. I see the
[   48.60s ->    53.90s] disconnect in the classroom. I see the assumptions that professors are making that are immediately
[   53.90s ->    59.78s] violated in practice. And largely the reason for this misunderstanding and disconnect is because
[   59.78s ->    66.60s] what is trivial isn't always what's spoken aloud. Nobody wants to ask these questions to get a
[   66.60s ->    71.48s] better interpretation of it, but we need concrete examples to be able to understand these techniques
[   71.48s ->    76.24s] if we have any hope of implementing them in practice. So in this video, what I want to do is
[   76.24s ->    80.92s] correct a lot of misinterpretations and misunderstandings associated with time series
[   80.92s ->    88.12s] analysis. Talk about the major tasks that is filtering, smoothing, and forecasting. I want to move on to
[   88.12s ->    95.12s] this idea of a prediction. The fact that there is no such thing as a prediction, and largely that's thanks
[   95.12s ->   101.78s] to machine learning and artificial intelligence. Then I want to discuss this idea of alternate data and
[  101.78s ->   108.80s] how we can use alternate data to improve forecasts in some cases, going beyond just simple time series
[  108.80s ->   114.20s] models. And we're going to use the big short as an example. As expected, there's a time series
[  114.20s ->   118.98s] pun for you. This Jupyter notebook will be linked in the description below. I will also post it on the
[  118.98s ->   124.10s] QuantGuild library on GitHub, where you can find all of my Jupyter notebooks and associated YouTube videos.
[  124.46s ->   128.62s] At the top of this Jupyter notebook, you'll find some related QuantGuild videos on ideas like
[  128.62s ->   134.48s] applying statistics to the market, the idea that even though our model is incorrect, it does not
[  134.48s ->   141.40s] preclude us from generating wealth over a series of trades over time, if we have edge in some sort
[  141.40s ->   145.90s] of trading model, and if we size our bets appropriately. So if you're unfamiliar with those
[  145.90s ->   151.52s] ideas, I certainly encourage you check out those videos. Moreover, if you'd like to support the channel
[  151.52s ->   156.30s] so I can continue to create videos just like this one, and if you'd like to master your quantitative
[  156.30s ->   161.96s] skills, check out QuantGuild.com. Quantitative finance is such an interdisciplinary field,
[  162.06s ->   167.86s] combining ideas from statistics, computer science, finance, math, the list goes on. There's so many
[  167.86s ->   173.60s] places to look, so many things to learn. That's where QuantGuild.com comes in. We have over 90 quant
[  173.60s ->   180.06s] lessons targeted in math, probability, finance, an adaptive practice engine that scales with your skill
[  180.06s ->   185.36s] level so you can progress to more and more difficult topics. Interview questions with fully worked
[  185.36s ->   192.82s] solutions. Coming soon, classes in math, statistics, coding, all from the ground up, all included with
[  192.82s ->   198.16s] QuantGuild membership. So if you'd like to support the channel and master your quantitative skills, check out
[  198.16s ->   205.82s] QuantGuild.com. Without further ado, let's begin with this idea of a time series. What are we actually
[  205.82s ->   216.42s] performing analysis on? Well, all a time series is, is a collection of observations over a series of time
[  216.42s ->   223.44s] and typically these observations occur at equal time intervals. So you could think of something like a
[  223.44s ->   229.38s] stock's closing price. We observe it every single day and we plot that chart and we get the stock's price
[  229.38s ->   236.95s] over time. Okay. That's typically what we see when we look up a stock chart. We see these regular time
[  236.95s ->   244.35s] intervals, evenly spaced. Now this doesn't have to be the case, right? We could have an irregular time
[  244.35s ->   250.51s] series as well. You can think of something where we're missing data. Maybe we're looking at some sort
[  250.51s ->   258.12s] of illiquid product that only trades every now and again. We're not going to be able to get information
[  258.12s ->   264.04s] at those equally spaced increments necessarily. And what that's going to do is create an irregular
[  264.04s ->   270.10s] time series where the time interval is not uniform. It's going to be dictated based on when we see
[  270.10s ->   278.24s] those observations. So both of these can be the case. And another key component of the time series
