[    0.46s ->     7.08s] If you have any desire to get into quant trading, whether you're looking at shops like
[    7.08s ->    12.50s] Jane Street or Citadel, you can't avoid the fabled technical interview where you're going
[   12.50s ->    18.12s] to be challenged with a variety of brain teaser-like questions revolving around some
[   18.12s ->    24.82s] sort of probability and statistics. Why? Why do they care so much about these ideas and why do
[   24.82s ->    30.28s] they care that you understand them? Well, fundamentally, quant trading is all about
[   30.28s ->    37.28s] pricing and finding mispricings, but what in the heck does it mean to price something? In this
[   37.28s ->    42.34s] video, I want to talk about why quant traders care about pricing. I want to talk about probability
[   42.34s ->    47.62s] and statistics as it relates to this idea of pricing, and hopefully this will give you a
[   47.62s ->    52.48s] better idea as to why it's so important that you understand intuitively all of these things
[   52.48s ->    57.98s] and you've mastered the tools necessary to solve such challenging technical questions
[   57.98s ->    63.72s] before you tackle real-world problems and start building your own trading strategies.
[   63.98s ->    68.56s] Quant trading is just a game, and it's a game about optimal decision-making in the face of
[   68.56s ->    74.22s] uncertainty. And in this game, you're competing against the best and brightest in the world,
[   74.34s ->    81.36s] PhDs in math, computer science, physics. So if quant trading is just a game, then let's start with
[   81.36s ->    88.62s] the simplest version that I can think of to discuss this idea of probability and statistics applied to
[   88.62s ->    94.60s] price and pricing. And that is this notion of a coin flipping game. What we're going to do is we're
[   94.60s ->    98.82s] going to talk about this coin flipping game, talk about a dice rolling game, and then we're going to
[   98.82s ->   105.16s] talk about a trading game. And hopefully you'll see my point and why pricing is really all that matters
[  105.16s ->   110.60s] at the end of the day in order to accumulate wealth or accumulate that idea of a trading edge
[  110.60s ->   116.62s] or a positive P&L over time. If some of the concepts in this video seem a bit foreign to you
[  116.62s ->   121.90s] or you need a refresher, I highly encourage you check out our open source resources available on
[  121.90s ->   127.68s] GitHub, Medium, and of course, YouTube. You can even check out quantguild.com for structured lessons
[  127.68s ->   132.94s] and practice questions. Nevertheless, we're going to continue with this idea of a coin flipping game
[  132.94s ->   138.42s] to get started. The game goes like this. We flip a coin, its heads, we get two bucks. We flip a coin,
[  138.52s ->   145.96s] its tails, we get nothing. The question is how much should I pay for that game? Well, clearly this
[  145.96s ->   151.74s] is an agreement between two parties, right? Because somebody has to pay me that $2, but they're not
[  151.74s ->   157.70s] going to host this game for free. If they hosted this game for free, I would just play it as many times
[  157.70s ->   163.70s] as I possibly could and generate a large amount of wealth for free. So nobody in their right mind
[  163.70s ->   168.72s] would host this game for free. They're not going to say, hey, I'm going to let you flip my coin and
[  168.72s ->   174.18s] I'm at risk of paying you two bucks, but I get nothing for that risk, right? But what is the correct
[  174.18s ->   182.02s] price to pay? So from statistics, from probability, we have this idea of an expected value. So the
[  182.02s ->   189.74s] probability of heads is 50%. The probability of tails is 50%. We multiply the payout $2 by the
[  189.74s ->   196.12s] probability of heads, which is 50%. We multiply the payout of tails, which is zero by 50%. So it
[  196.12s ->   203.76s] doesn't matter, we get zero. And we're left with this $1 here because 2 times 0.5 is in fact 1. That
[  203.76s ->   210.82s] is going to be the expected value of the game. Great. We have this expected value, this average,
[  210.82s ->   216.20s] this mean value. How does this help us? Well, to answer the question, how much should we pay for
